epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.8350,0.6446,77.10,0.8597,0.8231,0.9548,0.8276,0.8343,0.8432,0.8751,0.7342,0.9757,0.6901,0.8159,0.7994,0.6185
2,0.5423,0.5003,82.14,0.8994,0.8788,0.9856,0.8498,0.8704,0.9024,0.9093,0.7057,0.9605,0.7155,0.8516,0.8084,0.8844
3,0.4397,0.5072,82.05,0.9159,0.9073,0.9866,0.8797,0.8777,0.9147,0.9291,0.6234,0.8511,0.8451,0.8022,0.8114,0.9740
4,0.3760,0.4816,82.58,0.9195,0.9299,0.9805,0.8771,0.8909,0.9328,0.9056,0.9177,0.9392,0.7211,0.8434,0.8653,0.6850
5,0.2994,0.5675,81.85,0.9141,0.9300,0.9915,0.8575,0.8798,0.9228,0.9027,0.7025,0.9909,0.6873,0.7610,0.9641,0.8150
6,0.2448,0.6924,77.45,0.8961,0.9052,0.9855,0.8430,0.8691,0.9127,0.8614,0.9399,0.7964,0.6394,0.7225,0.8563,0.7168
7,0.1987,0.6371,79.21,0.8787,0.8868,0.9799,0.7788,0.8346,0.8849,0.9075,0.7342,0.9483,0.7521,0.8242,0.6587,0.8324
8,0.1551,0.5175,83.95,0.9086,0.9101,0.9920,0.8615,0.8383,0.9468,0.9031,0.8987,0.9787,0.7775,0.7720,0.8563,0.7717
9,0.0951,0.6915,79.89,0.9104,0.9084,0.9929,0.8622,0.8635,0.9258,0.9093,0.9430,0.9818,0.7803,0.7390,0.8563,0.5202
10,0.0802,0.7234,82.73,0.9033,0.9196,0.9866,0.8240,0.8380,0.9274,0.9245,0.6835,0.9635,0.8423,0.7033,0.8443,0.9277
11,0.0731,0.5348,86.11,0.9261,0.9417,0.9944,0.8649,0.8658,0.9475,0.9425,0.8703,0.9818,0.8479,0.7692,0.8743,0.8353
12,0.0709,0.5869,84.54,0.9161,0.9254,0.9931,0.8408,0.8699,0.9462,0.9214,0.8576,0.9848,0.7296,0.8049,0.8383,0.8699
13,0.0456,0.6045,85.81,0.9186,0.9349,0.9927,0.8607,0.8663,0.9341,0.9232,0.9051,0.9666,0.7775,0.8187,0.8772,0.8179
14,0.0353,0.5227,86.55,0.9336,0.9389,0.9941,0.8776,0.8995,0.9559,0.9354,0.8608,0.9878,0.8225,0.7967,0.8802,0.8555
15,0.0374,0.6459,84.93,0.9168,0.9333,0.9937,0.8389,0.8752,0.9365,0.9233,0.8259,0.9909,0.7437,0.8571,0.8054,0.8786
16,0.0291,0.6404,85.71,0.9235,0.9396,0.9947,0.8495,0.8788,0.9426,0.9356,0.8608,0.9878,0.7127,0.8736,0.8383,0.8786
17,0.0211,0.6834,84.25,0.9168,0.9117,0.9900,0.8684,0.8625,0.9317,0.9367,0.8228,0.9422,0.8085,0.7445,0.8293,0.9162
18,0.0174,0.5970,87.18,0.9278,0.9400,0.9947,0.8776,0.8645,0.9491,0.9410,0.8576,0.9939,0.8394,0.7940,0.8952,0.8613
19,0.0134,0.5798,86.74,0.9297,0.9438,0.9947,0.8759,0.8630,0.9538,0.9469,0.8386,0.9818,0.7465,0.8489,0.9251,0.8728
20,0.0104,0.5543,87.77,0.9360,0.9417,0.9954,0.8854,0.8910,0.9614,0.9411,0.8861,0.9848,0.8366,0.7940,0.8982,0.8786
21,0.0063,0.5889,86.40,0.9310,0.9422,0.9955,0.8740,0.8845,0.9448,0.9452,0.8766,0.9939,0.8056,0.8434,0.8443,0.8295
22,0.0121,0.6110,86.35,0.9254,0.9335,0.9920,0.8797,0.8706,0.9452,0.9313,0.8829,0.9787,0.8197,0.7610,0.8982,0.8555
23,0.0166,0.6083,85.37,0.9244,0.9321,0.9924,0.8555,0.8796,0.9504,0.9365,0.8671,0.9939,0.8085,0.8022,0.8683,0.7948
24,0.0097,0.6143,86.35,0.9282,0.9346,0.9920,0.8701,0.8840,0.9449,0.9435,0.8956,0.9909,0.8085,0.7995,0.8952,0.8064
25,0.0054,0.6331,86.06,0.9275,0.9357,0.9925,0.8697,0.8804,0.9430,0.9435,0.8513,0.9939,0.8197,0.8297,0.8593,0.8179
