epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.0135,0.8623,66.78,0.7772,0.7801,0.9619,0.6510,0.7296,0.7154,0.8255,0.5506,0.7994,0.6225,0.4615,0.8443,0.7428
2,0.7070,1.5715,52.79,0.7102,0.7120,0.9126,0.7269,0.5660,0.6777,0.6657,0.9462,0.5714,0.4620,0.2445,0.6108,0.3902
3,0.5600,0.6525,76.47,0.8724,0.9149,0.9739,0.8563,0.7584,0.8806,0.8500,0.8861,0.6261,0.6028,0.7280,0.9132,0.8468
4,0.4895,0.4575,83.51,0.9240,0.9286,0.9831,0.8863,0.8980,0.9279,0.9200,0.8766,0.9939,0.8310,0.7802,0.8683,0.6763
5,0.4342,0.4132,85.62,0.9245,0.9167,0.9866,0.8945,0.8793,0.9388,0.9309,0.7816,0.9726,0.8451,0.7582,0.9102,0.8757
6,0.4038,0.4103,84.88,0.9309,0.9410,0.9833,0.8775,0.9004,0.9368,0.9462,0.8513,0.9240,0.8563,0.8599,0.7425,0.8584
7,0.3642,0.3500,87.82,0.9414,0.9489,0.9893,0.9015,0.9042,0.9554,0.9493,0.8703,0.9848,0.8254,0.8214,0.8802,0.8960
8,0.3198,0.3939,86.74,0.9327,0.9346,0.9905,0.8990,0.8877,0.9408,0.9438,0.8038,0.9878,0.8620,0.8379,0.8503,0.8642
9,0.3065,0.3590,87.67,0.9405,0.9437,0.9912,0.9030,0.9017,0.9522,0.9511,0.8006,0.9909,0.8338,0.8516,0.8772,0.9075
10,0.2759,0.4932,83.27,0.9198,0.9048,0.9852,0.8811,0.8879,0.9236,0.9363,0.8924,0.9878,0.7775,0.7582,0.8802,0.7197
11,0.2484,0.3967,86.20,0.9402,0.9298,0.9896,0.8987,0.9098,0.9636,0.9496,0.8734,0.9818,0.8338,0.8791,0.8204,0.7890
12,0.2131,0.4246,86.94,0.9331,0.9304,0.9902,0.8956,0.9012,0.9552,0.9258,0.7880,0.9909,0.7521,0.8654,0.9461,0.8786
13,0.1854,0.3831,87.62,0.9433,0.9537,0.9910,0.8980,0.8908,0.9624,0.9639,0.8418,0.9848,0.7944,0.7885,0.9521,0.9075
14,0.1583,0.4887,85.76,0.9276,0.9026,0.9888,0.9010,0.8970,0.9454,0.9309,0.7816,0.9362,0.8338,0.7802,0.8892,0.9277
15,0.1497,0.8378,80.04,0.9095,0.8994,0.9657,0.8853,0.8773,0.9528,0.8766,0.8734,0.9909,0.7859,0.8214,0.8982,0.4509
16,0.1139,0.5302,85.71,0.9269,0.9355,0.9896,0.8732,0.8766,0.9454,0.9412,0.8070,0.9726,0.8366,0.8187,0.8024,0.9075
17,0.0981,0.6997,81.60,0.8992,0.8714,0.9879,0.8536,0.8125,0.9339,0.9357,0.8354,0.9210,0.6423,0.7115,0.9132,0.8931
18,0.0924,0.5226,87.57,0.9297,0.9255,0.9928,0.8767,0.8900,0.9596,0.9336,0.8797,0.9818,0.7577,0.8571,0.9281,0.8613
19,0.0677,0.6124,85.76,0.9227,0.9272,0.9913,0.8648,0.8612,0.9474,0.9444,0.7880,0.9787,0.7014,0.8791,0.8832,0.9191
20,0.0644,0.6354,85.32,0.9157,0.8919,0.9860,0.8687,0.8733,0.9515,0.9230,0.7816,0.9605,0.8141,0.7802,0.8533,0.9335
21,0.0549,0.5989,85.13,0.9251,0.9123,0.9903,0.8792,0.8944,0.9337,0.9410,0.8196,0.9544,0.8197,0.8297,0.7874,0.8988
22,0.0459,0.9289,82.29,0.9264,0.9163,0.9903,0.8808,0.8857,0.9705,0.9149,0.9557,0.9301,0.8225,0.7555,0.9371,0.5607
23,0.0629,0.6503,85.62,0.9225,0.9336,0.9882,0.8506,0.8572,0.9532,0.9522,0.8544,0.9787,0.6789,0.8462,0.9371,0.8555
24,0.0441,0.6014,86.84,0.9325,0.9417,0.9914,0.8828,0.8749,0.9525,0.9519,0.9051,0.9696,0.7577,0.8544,0.9042,0.8324
25,0.0303,0.7153,86.55,0.9258,0.9202,0.9917,0.8825,0.8866,0.9419,0.9320,0.7911,0.9848,0.8141,0.8242,0.8772,0.9046
