epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.4914,1.0699,58.46,0.6506,0.5741,0.8901,0.6681,0.6393,0.5162,0.6160,0.5063,0.9271,0.5859,0.7225,0.2934,0.4653
2,0.8978,0.7822,70.16,0.7730,0.6904,0.9528,0.7648,0.7185,0.6969,0.8146,0.6044,0.7568,0.6732,0.6044,0.7515,0.8208
3,0.7735,0.6641,75.78,0.8231,0.7848,0.9621,0.8087,0.7486,0.7719,0.8622,0.6392,0.9271,0.7859,0.6703,0.7006,0.8237
4,0.6765,0.6101,77.54,0.8484,0.8378,0.9687,0.8155,0.7736,0.8125,0.8825,0.7943,0.9605,0.7183,0.7363,0.7665,0.6908
5,0.6147,0.5964,78.18,0.8610,0.8598,0.9743,0.7979,0.8135,0.8272,0.8931,0.7278,0.9787,0.8113,0.7253,0.6617,0.7890
6,0.5509,0.5198,81.31,0.8909,0.8828,0.9696,0.8522,0.8479,0.8969,0.8962,0.7278,0.9605,0.8394,0.6291,0.8772,0.8555
7,0.4951,0.5350,81.16,0.8967,0.8715,0.9790,0.8572,0.8601,0.8999,0.9124,0.7278,0.9787,0.8507,0.7775,0.6946,0.8382
8,0.4580,0.4657,83.17,0.9172,0.9133,0.9770,0.8710,0.8826,0.9330,0.9262,0.8038,0.8875,0.8732,0.6511,0.8892,0.8960
9,0.4135,0.4661,84.10,0.9144,0.9171,0.9776,0.8794,0.8676,0.9243,0.9201,0.8449,0.9149,0.8676,0.7720,0.7994,0.8526
10,0.3766,0.4850,82.68,0.9161,0.9088,0.9796,0.8743,0.8695,0.9404,0.9239,0.7468,0.9787,0.6648,0.8736,0.9281,0.7746
11,0.3451,0.6621,78.38,0.8780,0.8759,0.9579,0.8285,0.8496,0.8798,0.8763,0.8703,0.9331,0.6169,0.7033,0.8743,0.7312
12,0.3105,0.5186,82.29,0.9178,0.9149,0.9748,0.8753,0.8750,0.9368,0.9298,0.8513,0.9696,0.7831,0.8846,0.7186,0.7341
13,0.2793,0.4993,83.32,0.9128,0.8946,0.9703,0.8906,0.8650,0.9307,0.9258,0.7753,0.8450,0.7887,0.8324,0.8174,0.9364
14,0.2506,0.4919,83.07,0.9129,0.9037,0.9782,0.8714,0.8722,0.9401,0.9120,0.8576,0.9088,0.7127,0.7720,0.9072,0.8410
15,0.2377,0.5172,84.30,0.9290,0.9157,0.9843,0.8922,0.8992,0.9568,0.9255,0.9399,0.9514,0.8113,0.8599,0.8443,0.6647
16,0.1983,0.5730,83.32,0.9172,0.8994,0.9839,0.8860,0.8855,0.9333,0.9149,0.9019,0.9878,0.8169,0.8022,0.8533,0.6532
17,0.1677,0.4855,85.32,0.9154,0.8981,0.9803,0.8904,0.8661,0.9360,0.9217,0.8323,0.9574,0.8141,0.8104,0.8713,0.8410
18,0.1426,0.6564,83.07,0.9081,0.9040,0.9789,0.8579,0.8739,0.9318,0.9024,0.7975,0.9757,0.7070,0.8764,0.7784,0.8526
19,0.1207,0.7286,82.83,0.9156,0.8981,0.9705,0.8733,0.8898,0.9439,0.9178,0.8354,0.9635,0.7296,0.9176,0.7874,0.7399
20,0.1109,0.6398,82.63,0.9114,0.9083,0.9779,0.8658,0.8611,0.9331,0.9221,0.8101,0.9453,0.7183,0.8681,0.7784,0.8410
21,0.1009,0.5780,85.67,0.9262,0.9178,0.9855,0.8827,0.8860,0.9490,0.9362,0.7627,0.9757,0.8563,0.8324,0.8024,0.9075
22,0.0809,0.6495,84.05,0.9088,0.8949,0.9811,0.8632,0.8658,0.9305,0.9175,0.7753,0.9544,0.7521,0.8187,0.8802,0.8671
23,0.0675,0.7018,84.93,0.9201,0.9044,0.9818,0.8902,0.8798,0.9547,0.9098,0.7437,0.9878,0.8141,0.8214,0.8982,0.8324
24,0.0549,0.6825,85.71,0.9256,0.9185,0.9873,0.8847,0.8906,0.9485,0.9239,0.8513,0.9574,0.8282,0.7940,0.9072,0.8150
25,0.0496,0.7052,85.18,0.9297,0.9193,0.9866,0.8936,0.8853,0.9558,0.9376,0.8101,0.9818,0.9014,0.7527,0.7994,0.8699
26,0.0437,0.7677,84.74,0.9205,0.9115,0.9792,0.8833,0.8754,0.9560,0.9179,0.6899,0.9757,0.8282,0.8242,0.9042,0.8584
27,0.0428,0.7173,84.78,0.9273,0.9099,0.9871,0.8850,0.9009,0.9535,0.9274,0.9082,0.9331,0.8113,0.8407,0.8713,0.7341
28,0.0283,0.7785,85.57,0.9246,0.9184,0.9819,0.8897,0.8849,0.9486,0.9242,0.7785,0.9878,0.7775,0.8599,0.8892,0.8439
29,0.0239,0.7671,85.52,0.9217,0.9229,0.9857,0.8755,0.8658,0.9456,0.9350,0.8038,0.9666,0.8141,0.7830,0.9341,0.8382
30,0.0329,0.7610,83.37,0.9206,0.9147,0.9845,0.8789,0.8752,0.9427,0.9275,0.8038,0.9757,0.8451,0.6951,0.8772,0.8179
31,0.0158,0.8015,85.08,0.9240,0.9141,0.9840,0.8799,0.8952,0.9485,0.9224,0.8703,0.9635,0.8141,0.7637,0.9072,0.8006
32,0.0365,0.7313,85.91,0.9240,0.9075,0.9868,0.8797,0.8904,0.9523,0.9273,0.8228,0.9848,0.8310,0.8516,0.8533,0.8150
33,0.0136,0.8437,85.47,0.9254,0.9156,0.9851,0.8906,0.8968,0.9461,0.9184,0.8101,0.9726,0.8310,0.8764,0.7695,0.8671
34,0.0116,0.8099,84.64,0.9273,0.9182,0.9866,0.8877,0.8996,0.9455,0.9260,0.7753,0.9757,0.8254,0.8379,0.8114,0.8526
35,0.0174,0.8170,84.39,0.9215,0.9228,0.9816,0.8716,0.8832,0.9463,0.9234,0.8703,0.9818,0.8056,0.8324,0.7994,0.7832
36,0.0172,0.8063,85.62,0.9223,0.9007,0.9862,0.8787,0.8993,0.9495,0.9194,0.8386,0.9726,0.7831,0.8681,0.8653,0.8150
37,0.0085,0.7576,86.06,0.9276,0.9107,0.9881,0.8849,0.8931,0.9586,0.9300,0.8228,0.9574,0.7915,0.8489,0.9192,0.8295
38,0.0125,0.8639,85.42,0.9181,0.9036,0.9874,0.8784,0.8720,0.9364,0.9306,0.8608,0.9787,0.8000,0.8022,0.8473,0.8468
39,0.0166,0.8112,84.78,0.9223,0.9142,0.9840,0.8820,0.8934,0.9383,0.9219,0.7880,0.9726,0.8310,0.7775,0.8802,0.8439
40,0.0074,0.8218,85.67,0.9277,0.9212,0.9874,0.8812,0.8913,0.9509,0.9340,0.8449,0.9757,0.8056,0.8681,0.8533,0.7977
41,0.0050,0.8258,86.45,0.9295,0.9242,0.9881,0.8852,0.8964,0.9513,0.9316,0.8323,0.9909,0.8000,0.8434,0.9042,0.8237
42,0.0042,0.8799,84.39,0.9179,0.9072,0.9867,0.8757,0.8701,0.9440,0.9237,0.8006,0.9696,0.7493,0.8379,0.8952,0.8179
43,0.0173,0.7949,86.94,0.9249,0.9086,0.9850,0.8842,0.8929,0.9496,0.9291,0.7785,0.9666,0.8423,0.8214,0.9162,0.8931
44,0.0156,0.8490,84.20,0.9143,0.9044,0.9784,0.8741,0.8639,0.9364,0.9287,0.7658,0.9331,0.7718,0.8132,0.8982,0.8728
45,0.0107,0.8286,85.86,0.9244,0.9196,0.9881,0.8796,0.8746,0.9480,0.9368,0.8228,0.9878,0.8225,0.8352,0.8653,0.8237
