epoch,train_loss,val_loss,val_acc
1,1.1190,1.0286,60.86
2,0.7091,0.7760,71.97
3,0.5490,0.5976,77.79
4,0.4588,0.6985,75.64
5,0.3513,0.6509,78.52
6,0.3099,0.6704,78.91
7,0.2846,0.9120,73.14
8,0.2523,0.6614,80.77
9,0.1837,0.6141,81.75
10,0.1396,0.6926,80.87
11,0.1619,0.9281,76.32
12,0.1086,0.8692,79.31
13,0.1100,0.7882,80.04
14,0.1468,1.0491,76.57
15,0.1282,0.7986,79.16
16,0.0816,0.8202,80.87
17,0.0588,0.7955,82.24
18,0.0346,0.8325,82.83
19,0.0339,0.8399,83.37
20,0.1360,0.8815,79.65
21,0.0724,0.7711,82.53
22,0.0270,0.7717,83.02
23,0.0204,0.9353,80.92
24,0.0243,0.8634,83.02
25,0.0176,1.0826,79.50
