epoch,train_loss,val_loss,val_acc
1,1.2369,1.0368,61.15
2,0.8329,0.8117,70.01
3,0.6593,0.6888,75.93
4,0.5304,0.5978,78.67
5,0.4595,0.6292,78.03
6,0.4021,0.6740,77.40
7,0.3446,0.6102,78.96
8,0.3254,0.7355,76.27
9,0.2877,0.7801,76.81
10,0.2651,0.6554,78.72
11,0.2136,0.6965,80.19
12,0.2287,0.7538,77.45
13,0.1751,0.9202,74.56
14,0.1705,0.9038,75.78
15,0.1631,0.7169,79.99
16,0.1366,0.7364,81.41
17,0.1263,0.6586,82.34
18,0.1262,0.8919,77.98
19,0.1378,0.6842,80.68
20,0.0835,0.9278,77.74
21,0.1125,0.8304,79.79
22,0.0897,0.7907,81.07
23,0.0783,1.0691,75.05
24,0.0964,0.8470,80.48
25,0.0968,0.7253,82.34
