epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.5617,1.0615,57.83,0.6401,0.6140,0.8996,0.5634,0.5622,0.4111,0.7904,0.5570,0.7812,0.4958,0.6456,0.1647,0.8179
2,0.9248,0.8857,65.26,0.7377,0.7014,0.9278,0.6973,0.6834,0.5588,0.8576,0.7563,0.8906,0.5155,0.4698,0.7635,0.5578
3,0.8034,0.7358,73.04,0.8047,0.7665,0.9537,0.7838,0.7654,0.6827,0.8765,0.7563,0.9544,0.6901,0.6264,0.7156,0.6590
4,0.7080,0.9678,68.59,0.8006,0.7432,0.9378,0.7804,0.7813,0.7578,0.8030,0.4937,0.9666,0.8028,0.7885,0.5329,0.5145
5,0.6392,0.7362,73.43,0.8409,0.7679,0.9485,0.7999,0.8169,0.8372,0.8752,0.6044,0.9605,0.7775,0.7060,0.8024,0.5578
6,0.5719,0.6186,77.30,0.8640,0.8506,0.9685,0.8333,0.7876,0.8306,0.9135,0.7025,0.8541,0.7803,0.5192,0.8772,0.9191
7,0.5126,0.4774,83.46,0.9089,0.8947,0.9787,0.8717,0.8648,0.9186,0.9249,0.7627,0.9453,0.8366,0.6923,0.9222,0.8584
8,0.4743,0.4635,83.95,0.9110,0.9126,0.9796,0.8698,0.8626,0.9154,0.9261,0.8228,0.9726,0.7465,0.8297,0.8383,0.8353
9,0.4416,0.4482,84.05,0.9186,0.8981,0.9817,0.8885,0.8827,0.9318,0.9290,0.7278,0.9574,0.8394,0.7802,0.8952,0.8439
10,0.4022,0.4691,83.37,0.9224,0.9142,0.9754,0.8742,0.8821,0.9516,0.9369,0.9051,0.9483,0.7662,0.8764,0.8653,0.6532
11,0.3766,0.5275,81.07,0.9039,0.9073,0.9685,0.8798,0.8629,0.8930,0.9118,0.7595,0.9635,0.6197,0.8846,0.8144,0.8266
12,0.3493,0.5009,82.05,0.9179,0.9323,0.9826,0.8728,0.8763,0.9083,0.9351,0.9272,0.8997,0.8394,0.6429,0.8802,0.7572
13,0.3232,0.4202,85.86,0.9294,0.9268,0.9856,0.9038,0.8867,0.9375,0.9360,0.8481,0.9818,0.8451,0.8379,0.8234,0.8208
14,0.2926,0.4718,85.52,0.9277,0.9362,0.9776,0.8810,0.8860,0.9482,0.9373,0.8956,0.9605,0.7380,0.8764,0.8952,0.7775
15,0.2707,0.4025,86.89,0.9380,0.9373,0.9834,0.9072,0.8980,0.9580,0.9441,0.7975,0.9362,0.8789,0.8269,0.8413,0.9306
16,0.2457,0.4954,84.59,0.9239,0.9258,0.9832,0.8706,0.8895,0.9330,0.9414,0.7025,0.9362,0.8648,0.8489,0.8204,0.8931
17,0.2215,0.4594,86.11,0.9303,0.9305,0.9849,0.8862,0.8941,0.9450,0.9410,0.8386,0.9453,0.8000,0.7940,0.9042,0.8931
18,0.1830,0.4242,86.50,0.9343,0.9235,0.9875,0.9082,0.8918,0.9549,0.9400,0.8671,0.9635,0.8423,0.7692,0.8623,0.8960
19,0.1792,0.4668,86.35,0.9262,0.9148,0.9878,0.8869,0.8860,0.9356,0.9458,0.8196,0.9392,0.8507,0.7940,0.8982,0.8844
20,0.1371,0.6715,82.88,0.8941,0.8515,0.9804,0.8508,0.8403,0.9195,0.9221,0.7722,0.9574,0.7775,0.7582,0.8922,0.8237
21,0.1282,0.5444,83.61,0.9177,0.9072,0.9738,0.8840,0.8735,0.9370,0.9309,0.8418,0.8754,0.8704,0.6868,0.8593,0.8931
22,0.1226,0.5543,84.93,0.9248,0.9262,0.9803,0.8853,0.8849,0.9403,0.9314,0.8418,0.9696,0.7549,0.8791,0.8473,0.8092
23,0.0924,0.6228,85.23,0.9250,0.9138,0.9817,0.8865,0.8872,0.9496,0.9314,0.7753,0.8723,0.8000,0.8297,0.9281,0.9075
24,0.0849,0.5570,85.52,0.9322,0.9243,0.9866,0.8943,0.8991,0.9585,0.9305,0.8703,0.9696,0.8366,0.8022,0.8802,0.7832
25,0.0725,0.6070,82.78,0.9222,0.9255,0.9822,0.9040,0.8708,0.9326,0.9177,0.9114,0.9179,0.8479,0.6786,0.8263,0.8035
