epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9798,1.3396,55.82,0.7158,0.7069,0.8990,0.7467,0.5861,0.7044,0.6520,0.9494,0.7933,0.5352,0.2912,0.6796,0.1647
2,0.6931,0.6812,75.00,0.8503,0.8708,0.9643,0.7956,0.7752,0.8562,0.8397,0.6424,0.9605,0.7718,0.8132,0.5180,0.7832
3,0.5927,0.5758,79.16,0.8714,0.8845,0.9636,0.8013,0.8370,0.8763,0.8655,0.7911,0.8328,0.7408,0.7830,0.8443,0.7630
4,0.5238,0.6163,78.77,0.8683,0.8645,0.9792,0.7966,0.8297,0.8388,0.9009,0.8481,0.7994,0.8423,0.6978,0.7275,0.8179
5,0.4778,0.5196,82.19,0.8994,0.9320,0.9794,0.8501,0.8365,0.8774,0.9209,0.8703,0.9514,0.6479,0.8516,0.8084,0.8150
6,0.4490,0.4385,84.98,0.9200,0.9419,0.9793,0.8741,0.8584,0.9376,0.9287,0.8513,0.9544,0.7408,0.7885,0.9192,0.8584
7,0.4143,0.5927,78.28,0.8943,0.9011,0.9855,0.8622,0.8307,0.8787,0.9076,0.9335,0.8906,0.6676,0.7198,0.8593,0.6532
8,0.3871,0.5088,81.56,0.9130,0.9242,0.9782,0.8623,0.8791,0.9325,0.9019,0.9525,0.8693,0.8225,0.7610,0.8263,0.6792
9,0.3650,0.4677,83.90,0.9294,0.9383,0.9882,0.8896,0.8798,0.9425,0.9379,0.9557,0.9878,0.7577,0.8764,0.8114,0.6618
10,0.3371,0.4363,85.27,0.9286,0.9406,0.9793,0.8965,0.8877,0.9565,0.9110,0.8101,0.9878,0.8338,0.8049,0.8593,0.8266
11,0.3165,0.4448,85.03,0.9338,0.9426,0.9905,0.8808,0.9025,0.9492,0.9371,0.7595,0.9878,0.6451,0.8984,0.9401,0.8757
12,0.2857,0.4406,86.15,0.9362,0.9424,0.9853,0.8997,0.9089,0.9592,0.9217,0.8544,0.9878,0.8620,0.8352,0.8383,0.7977
13,0.2745,0.4084,86.25,0.9359,0.9437,0.9774,0.9042,0.9062,0.9585,0.9254,0.8829,0.8723,0.8254,0.8352,0.8982,0.8671
14,0.2321,0.3548,88.21,0.9434,0.9501,0.9930,0.9105,0.8952,0.9634,0.9479,0.8323,0.9757,0.8282,0.8187,0.9222,0.9220
15,0.2167,0.4748,85.37,0.9359,0.9428,0.9889,0.9029,0.8865,0.9535,0.9411,0.9272,0.9666,0.8648,0.8544,0.7665,0.7514
16,0.1798,0.4912,86.35,0.9290,0.9344,0.9880,0.8941,0.8851,0.9425,0.9300,0.7658,0.9696,0.8423,0.8407,0.8413,0.9191
17,0.1683,0.5006,84.83,0.9181,0.9313,0.9844,0.8667,0.8500,0.9423,0.9337,0.8766,0.9453,0.7521,0.8132,0.8204,0.8931
18,0.1411,0.4771,85.23,0.9305,0.9486,0.9908,0.8762,0.8700,0.9433,0.9542,0.8354,0.9726,0.8225,0.8297,0.7784,0.8786
19,0.1195,0.4682,86.99,0.9365,0.9422,0.9922,0.8847,0.8915,0.9578,0.9506,0.8639,0.9696,0.8169,0.8489,0.8024,0.9220
20,0.1074,0.6495,82.09,0.9171,0.9239,0.9832,0.8844,0.8538,0.9395,0.9179,0.9209,0.9088,0.7944,0.6896,0.8593,0.7746
21,0.1002,0.5783,85.37,0.9263,0.9433,0.9865,0.8792,0.8608,0.9415,0.9465,0.9367,0.9726,0.7099,0.8901,0.8413,0.7861
22,0.0737,0.6151,84.78,0.9238,0.9272,0.9883,0.8722,0.8816,0.9394,0.9340,0.8259,0.9787,0.7634,0.8764,0.8114,0.8353
23,0.0673,0.6768,84.49,0.9165,0.9096,0.9854,0.8642,0.8655,0.9395,0.9350,0.7848,0.9483,0.7549,0.8407,0.8293,0.9133
24,0.0605,0.6252,86.69,0.9306,0.9400,0.9860,0.8885,0.8851,0.9393,0.9446,0.8165,0.9726,0.8451,0.8242,0.8174,0.9277
25,0.0605,0.5970,85.71,0.9258,0.9346,0.9895,0.8725,0.8752,0.9392,0.9438,0.8608,0.9666,0.7690,0.8434,0.8383,0.8728
