epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.8400,0.6546,76.32,0.8527,0.8741,0.9766,0.7801,0.7325,0.8707,0.8820,0.7373,0.8328,0.5183,0.7500,0.8473,0.9046
2,0.5627,0.6875,74.95,0.8783,0.8736,0.9660,0.8488,0.8196,0.8679,0.8938,0.9399,0.8511,0.7493,0.6291,0.7605,0.5954
3,0.4539,0.4773,83.07,0.9178,0.9168,0.9894,0.8876,0.8793,0.9388,0.8947,0.6456,0.9909,0.8141,0.7885,0.8772,0.8642
4,0.3701,0.4233,85.42,0.9274,0.9306,0.9830,0.8933,0.8875,0.9443,0.9255,0.8228,0.9666,0.7549,0.8654,0.8922,0.8295
5,0.3035,0.4787,83.32,0.9221,0.9189,0.9855,0.8912,0.8885,0.9389,0.9097,0.7595,0.9939,0.8197,0.7280,0.9222,0.7861
6,0.2400,0.6347,79.06,0.8988,0.8877,0.9889,0.8506,0.8545,0.9092,0.9017,0.8892,0.9696,0.7972,0.7555,0.5838,0.7601
7,0.1928,0.5301,83.56,0.9139,0.9091,0.9845,0.8782,0.8614,0.9325,0.9180,0.8861,0.9058,0.8141,0.7747,0.7964,0.8468
8,0.1564,0.5079,84.64,0.9165,0.9173,0.9889,0.8784,0.8524,0.9338,0.9281,0.8006,0.9544,0.8423,0.7445,0.8862,0.8584
9,0.1025,0.6288,83.12,0.9099,0.9156,0.9893,0.8417,0.8730,0.9228,0.9169,0.7120,0.9878,0.6282,0.8599,0.9192,0.8844
10,0.0796,0.6216,84.00,0.8978,0.9198,0.9867,0.8209,0.8175,0.9119,0.9303,0.8734,0.9696,0.7465,0.7857,0.8563,0.8237
