epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9853,0.8426,70.55,0.8100,0.7950,0.9365,0.7403,0.7656,0.8025,0.8200,0.8734,0.7538,0.7549,0.4258,0.6856,0.7688
2,0.6415,0.6001,77.98,0.8781,0.8617,0.9823,0.8414,0.8213,0.8845,0.8777,0.7816,0.8055,0.7465,0.6868,0.9042,0.7659
3,0.5528,0.6390,75.78,0.8861,0.8840,0.9692,0.8240,0.8453,0.9031,0.8908,0.6646,0.9666,0.8761,0.5247,0.8503,0.6792
4,0.4741,0.4768,82.24,0.9220,0.9022,0.9844,0.8887,0.8907,0.9357,0.9300,0.8829,0.9635,0.7549,0.8956,0.8174,0.6301
5,0.4142,0.4264,85.32,0.9242,0.9349,0.9831,0.8885,0.8820,0.9282,0.9282,0.8101,0.9271,0.8479,0.7775,0.8683,0.8931
6,0.3735,0.3988,86.11,0.9362,0.9349,0.9924,0.9003,0.9004,0.9511,0.9382,0.8323,0.9939,0.8507,0.6896,0.9251,0.8902
7,0.3437,0.4002,85.91,0.9335,0.9423,0.9853,0.8891,0.8976,0.9552,0.9316,0.8703,0.9119,0.8085,0.8462,0.8563,0.8671
8,0.3031,0.6357,77.54,0.9000,0.8930,0.9580,0.8497,0.8818,0.9215,0.8962,0.8987,0.7021,0.6761,0.8407,0.8623,0.6821
9,0.2803,0.5611,81.36,0.9121,0.9193,0.9880,0.8505,0.8616,0.9239,0.9292,0.6994,0.9878,0.5099,0.9258,0.8832,0.8786
10,0.2633,0.5888,80.43,0.9111,0.9059,0.9697,0.8986,0.8525,0.9210,0.9187,0.8734,0.7112,0.8507,0.6648,0.8802,0.8555
