epoch,train_loss,val_loss,val_acc
1,1.3193,1.7935,46.97
2,0.9291,0.9005,65.41
3,0.7521,1.0198,65.26
4,0.6176,0.6760,75.39
5,0.5270,0.6304,76.81
6,0.4248,0.8272,73.63
7,0.3977,0.6592,76.91
8,0.3294,0.8610,72.26
9,0.2751,0.6507,79.94
10,0.2459,0.7160,77.59
11,0.2261,0.7966,76.13
12,0.1907,0.7388,77.79
13,0.1788,0.7373,78.33
14,0.1601,0.8658,77.84
15,0.1455,0.8675,76.71
16,0.1389,0.7560,80.68
17,0.1250,0.7811,78.96
18,0.1615,0.7385,81.36
19,0.1489,0.7585,81.41
20,0.0719,0.7798,81.41
21,0.0748,0.9793,78.57
22,0.0637,1.0081,79.16
23,0.1405,0.8556,79.26
24,0.1134,0.8752,79.55
25,0.0747,0.8637,81.60
