epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2326,0.8966,65.95,0.7170,0.6508,0.9423,0.7261,0.6954,0.5620,0.7251,0.5127,0.8784,0.7099,0.6978,0.4132,0.7312
2,0.8173,0.7501,72.21,0.8065,0.8057,0.9654,0.7687,0.7599,0.7261,0.8132,0.7848,0.7872,0.7606,0.5989,0.6527,0.7601
3,0.6434,0.5986,78.33,0.8639,0.8605,0.9792,0.8155,0.8063,0.8659,0.8558,0.5823,0.9878,0.7944,0.7198,0.7844,0.8266
4,0.5634,0.5372,80.53,0.8797,0.8653,0.9843,0.8334,0.8157,0.8859,0.8934,0.8386,0.9331,0.7887,0.7473,0.8174,0.7197
5,0.4963,0.4992,81.31,0.8939,0.8862,0.9827,0.8485,0.8351,0.9029,0.9080,0.7373,0.9666,0.7775,0.7967,0.8084,0.7948
6,0.4572,0.6646,75.39,0.8786,0.8695,0.9823,0.8203,0.8188,0.8954,0.8853,0.7848,0.7872,0.6563,0.5577,0.9551,0.8064
7,0.4070,0.5463,80.38,0.8922,0.8599,0.9832,0.8659,0.8359,0.9285,0.8798,0.8703,0.9179,0.7859,0.7280,0.9102,0.6301
8,0.3700,0.4858,82.83,0.9119,0.9105,0.9897,0.8702,0.8630,0.9295,0.9087,0.6329,0.9818,0.8282,0.8242,0.7844,0.9075
9,0.3293,0.4421,85.37,0.9207,0.9164,0.9884,0.8849,0.8740,0.9385,0.9222,0.7753,0.9088,0.8338,0.7885,0.8892,0.9277
10,0.2908,0.4899,82.53,0.9096,0.8816,0.9840,0.8849,0.8686,0.9346,0.9036,0.8291,0.9757,0.8169,0.7115,0.9102,0.7254
11,0.2513,0.4761,85.03,0.9131,0.8897,0.9813,0.8818,0.8702,0.9438,0.9117,0.7468,0.9240,0.8169,0.7940,0.8862,0.9335
12,0.2243,0.4444,85.71,0.9233,0.9148,0.9877,0.8938,0.8873,0.9400,0.9161,0.7690,0.9878,0.7662,0.8599,0.8713,0.8902
13,0.1867,0.4542,85.18,0.9163,0.9112,0.9888,0.8645,0.8692,0.9414,0.9227,0.8259,0.9787,0.7887,0.7830,0.8862,0.8584
14,0.1528,0.4737,84.15,0.9183,0.9030,0.9812,0.8789,0.8785,0.9503,0.9182,0.8038,0.9909,0.8197,0.8242,0.8563,0.7601
15,0.1382,0.4692,83.95,0.9169,0.9051,0.9894,0.8748,0.8809,0.9424,0.9090,0.7342,0.9848,0.7690,0.8242,0.8653,0.8613
16,0.1074,0.5315,83.32,0.9179,0.8983,0.9890,0.8736,0.8777,0.9510,0.9176,0.6551,0.9422,0.8225,0.7253,0.9162,0.9364
17,0.0820,0.4935,84.69,0.9171,0.9022,0.9897,0.8686,0.8758,0.9446,0.9221,0.7247,0.9696,0.8197,0.8049,0.8593,0.9017
18,0.0744,0.6528,79.94,0.8979,0.8830,0.9830,0.8442,0.8449,0.9365,0.8957,0.8070,0.9909,0.6958,0.8819,0.8114,0.6185
19,0.0586,0.5673,83.37,0.9080,0.9050,0.9843,0.8462,0.8629,0.9408,0.9091,0.7911,0.9909,0.7521,0.8571,0.8323,0.7832
20,0.0623,0.5575,83.86,0.9083,0.8965,0.9871,0.8585,0.8460,0.9414,0.9204,0.7816,0.9544,0.8338,0.7363,0.9311,0.8035
21,0.0460,0.5491,83.66,0.9119,0.9038,0.9865,0.8489,0.8695,0.9417,0.9209,0.7437,0.9848,0.7155,0.8571,0.8832,0.8382
22,0.0428,0.5498,84.25,0.9128,0.9052,0.9846,0.8626,0.8729,0.9421,0.9091,0.8323,0.9878,0.7944,0.8104,0.8413,0.7977
23,0.0336,0.5670,83.61,0.9053,0.9039,0.9818,0.8457,0.8561,0.9375,0.9067,0.7627,0.9818,0.7775,0.7830,0.8623,0.8555
24,0.0283,0.5419,84.69,0.9195,0.9128,0.9868,0.8727,0.8739,0.9472,0.9237,0.7911,0.9848,0.7775,0.8297,0.8683,0.8353
25,0.0308,0.6271,82.39,0.9024,0.8925,0.9814,0.8488,0.8405,0.9428,0.9081,0.7373,0.9909,0.7352,0.8379,0.8922,0.7543
26,0.0282,0.5582,84.78,0.9126,0.9104,0.9854,0.8606,0.8620,0.9376,0.9197,0.8165,0.9666,0.7746,0.7940,0.8683,0.8757
27,0.0208,0.5569,84.98,0.9136,0.9023,0.9876,0.8673,0.8703,0.9404,0.9137,0.8165,0.9635,0.7915,0.8159,0.8832,0.8353
