epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.6028,0.8837,66.63,0.7166,0.6241,0.9373,0.6835,0.6923,0.5513,0.8112,0.6487,0.8116,0.7915,0.4670,0.4760,0.8092
2,0.8733,0.8490,68.49,0.7677,0.6724,0.9552,0.7477,0.7320,0.6914,0.8077,0.4810,0.7720,0.7465,0.5247,0.7725,0.8092
3,0.7444,0.7323,71.92,0.8127,0.7792,0.9600,0.7547,0.7884,0.7504,0.8434,0.6456,0.8419,0.7690,0.5000,0.7874,0.7832
4,0.6361,0.6863,75.10,0.8613,0.8786,0.9743,0.8030,0.7778,0.8534,0.8809,0.8861,0.9058,0.5718,0.5934,0.9162,0.6705
5,0.5664,0.5352,80.43,0.8906,0.9019,0.9656,0.8458,0.8459,0.8898,0.8947,0.8354,0.8693,0.8225,0.7308,0.7395,0.8353
6,0.5132,0.4882,83.27,0.9046,0.9222,0.9815,0.8419,0.8542,0.9127,0.9152,0.8133,0.9605,0.8648,0.6868,0.8443,0.8382
7,0.4782,0.5141,82.05,0.9117,0.9167,0.9754,0.8706,0.8695,0.9168,0.9210,0.7880,0.8298,0.8507,0.8407,0.6826,0.9220
8,0.4332,0.4564,83.27,0.9140,0.8919,0.9844,0.8877,0.8738,0.9272,0.9191,0.7975,0.8784,0.7437,0.8379,0.8892,0.8526
9,0.4097,0.5642,81.02,0.9009,0.9012,0.9641,0.8542,0.8792,0.8953,0.9110,0.8070,0.9544,0.6197,0.9286,0.7635,0.7919
10,0.3841,0.3737,86.79,0.9368,0.9398,0.9871,0.8933,0.9046,0.9548,0.9410,0.8734,0.9240,0.8254,0.8736,0.8653,0.8497
