epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2843,0.9793,62.67,0.6683,0.6288,0.8942,0.6031,0.6795,0.4774,0.7265,0.6361,0.7720,0.7099,0.7198,0.2006,0.7081
2,0.8941,0.9119,62.67,0.7714,0.7701,0.9136,0.7474,0.6991,0.6807,0.8175,0.8038,0.8936,0.8254,0.7005,0.0898,0.4480
3,0.7266,0.8339,68.44,0.7816,0.8324,0.9629,0.6221,0.7479,0.6721,0.8520,0.4430,0.9027,0.4113,0.6346,0.8653,0.8555
4,0.6245,0.6362,76.57,0.8649,0.8567,0.9752,0.8069,0.8124,0.8410,0.8970,0.6044,0.8571,0.8958,0.6126,0.6856,0.9306
5,0.5664,0.6191,77.45,0.8606,0.8494,0.9693,0.8272,0.8145,0.8379,0.8652,0.7215,0.8632,0.7746,0.6044,0.9162,0.7803
6,0.5106,0.5830,78.42,0.8868,0.8889,0.9728,0.8393,0.8658,0.8523,0.9019,0.8576,0.9635,0.5521,0.8462,0.8473,0.6590
7,0.4667,0.4950,82.93,0.9042,0.9128,0.9779,0.8545,0.8661,0.8782,0.9354,0.7405,0.9422,0.8085,0.8242,0.7425,0.9133
8,0.4310,0.6256,77.64,0.8897,0.8967,0.9513,0.8236,0.8585,0.9039,0.9040,0.7184,0.9605,0.7465,0.9121,0.5419,0.7688
9,0.4001,0.4256,85.62,0.9277,0.9306,0.9870,0.8949,0.8916,0.9460,0.9162,0.8133,0.9848,0.8535,0.8242,0.8353,0.8295
10,0.3625,0.4622,83.61,0.9199,0.9231,0.9844,0.8695,0.8781,0.9453,0.9189,0.8576,0.8511,0.8282,0.7830,0.8024,0.8988
11,0.3447,0.6027,77.45,0.9049,0.9138,0.9756,0.8806,0.8283,0.9188,0.9121,0.9430,0.8723,0.8169,0.4835,0.9012,0.6676
12,0.3079,0.4133,86.06,0.9288,0.9426,0.9903,0.8821,0.8890,0.9357,0.9329,0.8259,0.9605,0.8535,0.8132,0.8323,0.8815
13,0.2731,0.4554,84.44,0.9266,0.9288,0.9898,0.8762,0.8812,0.9499,0.9340,0.7943,0.9483,0.8620,0.8022,0.8084,0.8526
14,0.2520,0.4880,83.86,0.9158,0.9202,0.9892,0.8728,0.8629,0.9171,0.9328,0.7310,0.9757,0.8254,0.8214,0.8353,0.8410
15,0.2146,0.5501,83.66,0.9203,0.9080,0.9852,0.8716,0.8769,0.9496,0.9306,0.8797,0.9635,0.8225,0.7720,0.9251,0.6734
16,0.1883,0.5359,83.76,0.9080,0.9291,0.9856,0.8407,0.8636,0.8924,0.9364,0.8829,0.9787,0.6761,0.8269,0.8563,0.8208
17,0.1598,0.5658,83.07,0.9111,0.9268,0.9887,0.8515,0.8381,0.9361,0.9255,0.8259,0.9574,0.8113,0.8489,0.6557,0.8844
18,0.1330,0.5933,84.30,0.9157,0.9300,0.9864,0.8674,0.8594,0.9230,0.9282,0.7627,0.9696,0.7690,0.8626,0.8323,0.8613
19,0.1077,0.7213,82.83,0.9076,0.9117,0.9879,0.8672,0.8494,0.9114,0.9180,0.9082,0.9605,0.8000,0.8324,0.7126,0.7659
20,0.1073,0.6273,84.64,0.9154,0.9145,0.9854,0.8491,0.8595,0.9563,0.9273,0.8892,0.9362,0.7211,0.8846,0.8743,0.7832
21,0.0783,0.7674,81.80,0.9058,0.9217,0.9845,0.8473,0.8310,0.9236,0.9265,0.9146,0.8480,0.8028,0.7527,0.7695,0.8324
22,0.0850,0.6095,85.76,0.9216,0.9192,0.9892,0.8673,0.8895,0.9374,0.9271,0.8576,0.9726,0.7662,0.8516,0.8743,0.8324
23,0.0617,0.7216,84.93,0.9249,0.9296,0.9912,0.8744,0.8820,0.9364,0.9359,0.7342,0.9666,0.8704,0.8187,0.7725,0.9277
24,0.0591,0.7404,85.62,0.9299,0.9353,0.9896,0.8743,0.8892,0.9537,0.9374,0.8924,0.9757,0.8310,0.7143,0.9431,0.8006
25,0.0737,0.6577,85.62,0.9242,0.9315,0.9907,0.8615,0.8825,0.9484,0.9306,0.8259,0.9787,0.7944,0.7582,0.8952,0.8960
