epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.7034,1.2039,52.54,0.5615,0.3390,0.8884,0.5709,0.5639,0.4002,0.6067,0.2152,0.8967,0.4901,0.5797,0.2844,0.6676
2,1.0924,0.9332,63.16,0.6851,0.6697,0.9319,0.6107,0.6597,0.4636,0.7750,0.6234,0.7629,0.5690,0.6236,0.5030,0.7110
3,0.9520,0.8733,66.44,0.7445,0.7970,0.9458,0.7080,0.7055,0.5199,0.7909,0.6709,0.5623,0.7239,0.5879,0.5629,0.8728
4,0.8383,0.7244,71.43,0.8035,0.8286,0.9547,0.7584,0.7486,0.6852,0.8456,0.8513,0.8419,0.6479,0.6978,0.6317,0.6329
5,0.7526,0.7592,70.79,0.8123,0.8450,0.9602,0.7528,0.7162,0.7462,0.8536,0.6835,0.6018,0.6901,0.5247,0.8503,0.9046
6,0.6805,0.6923,75.83,0.8545,0.8729,0.9597,0.7696,0.8192,0.8401,0.8653,0.6392,0.9392,0.7690,0.8022,0.5269,0.8613
7,0.6290,0.6847,75.68,0.8660,0.8947,0.9649,0.8070,0.8368,0.8159,0.8765,0.8449,0.9757,0.4986,0.8571,0.7754,0.6098
8,0.5900,0.6212,77.45,0.8698,0.8787,0.9619,0.8016,0.8445,0.8476,0.8845,0.8038,0.9605,0.5521,0.7857,0.9042,0.6618
9,0.5686,0.6851,77.89,0.8835,0.8922,0.9564,0.8498,0.8567,0.8848,0.8611,0.7437,0.9848,0.8113,0.7940,0.7814,0.5636
10,0.5163,0.7856,74.02,0.8457,0.8506,0.8842,0.8401,0.8131,0.8594,0.8269,0.6044,0.6140,0.7239,0.7088,0.8473,0.9306
11,0.5001,0.5857,78.77,0.8997,0.9031,0.9774,0.8601,0.8521,0.8927,0.9127,0.8734,0.9666,0.9099,0.4615,0.8054,0.7399
12,0.4761,0.5401,81.85,0.9138,0.9180,0.9836,0.8703,0.8711,0.9102,0.9294,0.6835,0.9726,0.8930,0.6813,0.7425,0.9364
13,0.4564,0.6138,80.77,0.8918,0.8477,0.9780,0.8572,0.8388,0.9036,0.9254,0.8323,0.9271,0.7521,0.6978,0.7365,0.9133
14,0.4195,0.5657,81.36,0.9113,0.9152,0.9763,0.8589,0.8667,0.9177,0.9330,0.6361,0.8298,0.8338,0.7253,0.8862,0.9624
15,0.4328,0.4974,84.54,0.9072,0.9255,0.9854,0.8327,0.8687,0.9021,0.9290,0.8165,0.9726,0.7690,0.8516,0.7665,0.8988
16,0.3784,0.5119,82.63,0.9030,0.9189,0.9826,0.8310,0.8699,0.8876,0.9283,0.7943,0.9787,0.7239,0.7335,0.9222,0.8208
