epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.8454,1.1852,58.02,0.8038,0.8512,0.9347,0.8167,0.7422,0.7945,0.6834,0.9747,0.4225,0.6423,0.3956,0.7186,0.3671
2,0.5508,1.1828,58.51,0.7851,0.7172,0.9576,0.8138,0.5928,0.8474,0.7819,0.8829,0.3495,0.5634,0.1868,0.9521,0.6243
3,0.4544,0.5064,81.75,0.9048,0.9047,0.9840,0.8675,0.8557,0.9061,0.9110,0.8892,0.8997,0.7465,0.7582,0.8533,0.7746
4,0.3753,0.5485,79.70,0.9082,0.8969,0.9712,0.8888,0.8730,0.9369,0.8824,0.9019,0.8298,0.6986,0.8159,0.8623,0.6879
5,0.3069,0.5390,82.73,0.9161,0.9037,0.9842,0.8866,0.8832,0.9235,0.9151,0.6297,0.9666,0.8761,0.8159,0.8174,0.8468
6,0.2478,0.5271,83.61,0.9099,0.8713,0.9859,0.8779,0.8715,0.9410,0.9118,0.7437,0.9666,0.7521,0.8407,0.7994,0.9133
7,0.1867,0.6794,78.23,0.8787,0.8573,0.9710,0.8398,0.7908,0.9221,0.8910,0.8576,0.8176,0.6986,0.6786,0.8234,0.8353
8,0.1510,0.5356,83.86,0.9188,0.9001,0.9876,0.8802,0.8698,0.9461,0.9291,0.6835,0.9453,0.7380,0.8324,0.8952,0.9335
9,0.1198,0.5763,82.63,0.9057,0.8841,0.9874,0.8357,0.8619,0.9463,0.9186,0.7785,0.9331,0.7606,0.7940,0.8713,0.8266
10,0.0903,0.6958,82.29,0.8963,0.8959,0.9890,0.8428,0.8169,0.9353,0.8978,0.8956,0.9514,0.6197,0.8324,0.8862,0.7717
11,0.0810,0.7331,81.51,0.8937,0.8367,0.9872,0.8672,0.8320,0.9391,0.8998,0.6044,0.9605,0.8056,0.7005,0.8952,0.9220
12,0.0598,0.6981,83.27,0.9116,0.9098,0.9861,0.8646,0.8527,0.9355,0.9208,0.6646,0.9878,0.7915,0.8022,0.8862,0.8613
13,0.0494,0.6858,83.02,0.9017,0.8936,0.9910,0.8473,0.8450,0.9233,0.9101,0.7975,0.9422,0.7437,0.8242,0.8234,0.8555
14,0.0471,0.7315,83.51,0.9105,0.8983,0.9869,0.8607,0.8630,0.9333,0.9208,0.7057,0.9848,0.7437,0.8516,0.8353,0.8873
15,0.0345,0.6654,83.86,0.9123,0.9188,0.9859,0.8525,0.8632,0.9290,0.9243,0.7785,0.9757,0.7662,0.8791,0.7635,0.8671
16,0.0264,0.6427,84.93,0.9188,0.9171,0.9894,0.8639,0.8742,0.9472,0.9208,0.8734,0.9301,0.7887,0.7665,0.9222,0.8295
17,0.0220,0.6131,85.37,0.9229,0.9288,0.9918,0.8572,0.8725,0.9509,0.9365,0.8671,0.9909,0.7239,0.8544,0.8802,0.8179
18,0.0136,0.6757,84.25,0.9157,0.9182,0.9912,0.8466,0.8693,0.9384,0.9303,0.8038,0.9909,0.6761,0.8407,0.8952,0.8584
19,0.0113,0.6190,85.71,0.9251,0.9256,0.9935,0.8633,0.8783,0.9522,0.9376,0.8766,0.9818,0.7690,0.8297,0.8802,0.8179
20,0.0088,0.6239,85.62,0.9236,0.9302,0.9900,0.8672,0.8682,0.9475,0.9385,0.7848,0.9818,0.7915,0.8379,0.8533,0.8902
21,0.0083,0.6267,85.96,0.9259,0.9291,0.9924,0.8710,0.8741,0.9478,0.9408,0.8513,0.9818,0.8451,0.8022,0.8503,0.8353
22,0.0069,0.6556,85.91,0.9228,0.9119,0.9929,0.8718,0.8779,0.9435,0.9386,0.8481,0.9818,0.7493,0.8791,0.8383,0.8642
23,0.0102,0.7315,83.51,0.9147,0.9246,0.9922,0.8605,0.8570,0.9236,0.9306,0.8386,0.9848,0.7493,0.8544,0.7515,0.8382
24,0.0090,0.6728,85.27,0.9214,0.9313,0.9883,0.8625,0.8648,0.9450,0.9366,0.8070,0.9696,0.8310,0.7912,0.8593,0.8642
25,0.0061,0.6579,85.62,0.9245,0.9239,0.9909,0.8680,0.8787,0.9540,0.9313,0.8133,0.9818,0.7831,0.8297,0.8952,0.8410
26,0.0030,0.6631,85.96,0.9233,0.9256,0.9916,0.8592,0.8721,0.9529,0.9383,0.8259,0.9787,0.7915,0.8269,0.8802,0.8613
27,0.0034,0.6706,85.71,0.9255,0.9228,0.9909,0.8758,0.8740,0.9524,0.9372,0.8228,0.9787,0.8141,0.8132,0.8623,0.8584
28,0.0030,0.6402,86.01,0.9279,0.9246,0.9911,0.8805,0.8805,0.9566,0.9340,0.8228,0.9726,0.7944,0.8187,0.8802,0.8786
29,0.0022,0.6426,86.11,0.9285,0.9253,0.9894,0.8782,0.8834,0.9595,0.9350,0.8259,0.9787,0.7606,0.8571,0.8862,0.8642
30,0.0040,0.6413,86.11,0.9294,0.9238,0.9911,0.8866,0.8862,0.9575,0.9311,0.8323,0.9787,0.8394,0.8132,0.8683,0.8410
31,0.0026,0.6323,86.11,0.9294,0.9275,0.9919,0.8833,0.8817,0.9576,0.9346,0.8101,0.9818,0.8282,0.8214,0.8802,0.8497
32,0.0027,0.6931,85.71,0.9255,0.9231,0.9931,0.8800,0.8765,0.9496,0.9310,0.8861,0.9818,0.8225,0.8242,0.8413,0.7977
33,0.0037,0.6731,84.83,0.9196,0.9238,0.9846,0.8632,0.8727,0.9503,0.9231,0.8576,0.9635,0.8169,0.7857,0.8563,0.8208
34,0.0021,0.6541,85.76,0.9276,0.9273,0.9923,0.8768,0.8808,0.9546,0.9337,0.8449,0.9848,0.8169,0.8077,0.8802,0.8208
35,0.0019,0.6499,85.96,0.9264,0.9261,0.9914,0.8774,0.8780,0.9546,0.9313,0.8544,0.9696,0.8197,0.8077,0.8772,0.8382
36,0.0015,0.6647,85.67,0.9268,0.9281,0.9910,0.8765,0.8798,0.9528,0.9328,0.8354,0.9909,0.8000,0.8242,0.8743,0.8237
37,0.0013,0.6598,86.59,0.9282,0.9274,0.9910,0.8770,0.8835,0.9567,0.9335,0.8608,0.9787,0.8028,0.8214,0.8892,0.8526
38,0.0015,0.6698,86.40,0.9285,0.9296,0.9907,0.8778,0.8836,0.9547,0.9346,0.8829,0.9787,0.7972,0.8104,0.8922,0.8353
39,0.0014,0.6561,86.11,0.9285,0.9275,0.9902,0.8799,0.8822,0.9562,0.9353,0.8354,0.9909,0.7915,0.8077,0.8982,0.8526
40,0.0010,0.6599,86.11,0.9288,0.9297,0.9908,0.8791,0.8833,0.9544,0.9355,0.8386,0.9878,0.7803,0.8379,0.8802,0.8497
41,0.0012,0.6619,86.74,0.9301,0.9277,0.9904,0.8846,0.8888,0.9572,0.9322,0.8703,0.9726,0.8169,0.8269,0.8713,0.8555
42,0.0020,0.6901,85.91,0.9259,0.9284,0.9902,0.8700,0.8812,0.9510,0.9344,0.8418,0.9818,0.7831,0.8324,0.8683,0.8555
43,0.0014,0.6792,86.30,0.9268,0.9241,0.9891,0.8802,0.8848,0.9549,0.9279,0.8291,0.9878,0.7831,0.8516,0.8713,0.8613
44,0.0012,0.6703,86.45,0.9285,0.9265,0.9897,0.8828,0.8849,0.9561,0.9307,0.8449,0.9818,0.8000,0.8269,0.8802,0.8613
45,0.0012,0.6643,86.74,0.9282,0.9281,0.9898,0.8803,0.8822,0.9566,0.9321,0.8513,0.9787,0.8085,0.8104,0.8952,0.8699
46,0.0011,0.6679,86.55,0.9280,0.9272,0.9911,0.8780,0.8817,0.9576,0.9324,0.8418,0.9848,0.7859,0.8434,0.8862,0.8584
47,0.0011,0.6881,86.15,0.9268,0.9284,0.9917,0.8704,0.8820,0.9545,0.9338,0.8386,0.9818,0.7437,0.8571,0.8832,0.8728
48,0.0013,0.6652,86.84,0.9289,0.9278,0.9911,0.8821,0.8858,0.9561,0.9305,0.8766,0.9818,0.7944,0.8352,0.8892,0.8439
49,0.0013,0.6864,86.50,0.9267,0.9273,0.9917,0.8728,0.8827,0.9549,0.9308,0.8797,0.9848,0.7775,0.8269,0.9281,0.8064
50,0.0014,0.6987,85.67,0.9244,0.9247,0.9912,0.8751,0.8752,0.9487,0.9313,0.8354,0.9909,0.7634,0.8489,0.8802,0.8295
