epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2455,0.9406,65.46,0.6922,0.5688,0.9312,0.6895,0.7239,0.5455,0.6943,0.5538,0.7903,0.7380,0.6401,0.4880,0.7081
2,0.8522,0.7328,73.63,0.7980,0.7587,0.9646,0.7915,0.7530,0.6877,0.8322,0.7500,0.9210,0.6732,0.7060,0.6557,0.7225
3,0.6753,0.6139,77.79,0.8480,0.8228,0.9754,0.8156,0.7939,0.8096,0.8703,0.7563,0.9149,0.7437,0.7308,0.7126,0.8150
4,0.5781,0.5328,80.63,0.8825,0.8568,0.9812,0.8407,0.8466,0.8903,0.8792,0.6487,0.9726,0.7775,0.7500,0.8503,0.8382
5,0.5102,0.4912,83.41,0.8962,0.8895,0.9837,0.8513,0.8585,0.8921,0.9020,0.7690,0.9635,0.7746,0.7995,0.8683,0.8353
6,0.4655,0.5264,81.31,0.8947,0.9030,0.9803,0.8454,0.8609,0.8886,0.8899,0.7690,0.9848,0.8282,0.7995,0.6737,0.8237
7,0.4152,0.4719,83.95,0.9062,0.8979,0.9805,0.8698,0.8651,0.9178,0.9062,0.7785,0.9574,0.7662,0.8214,0.8174,0.8988
8,0.3749,0.4592,83.41,0.9138,0.9075,0.9866,0.8823,0.8757,0.9235,0.9073,0.7025,0.9848,0.8451,0.7500,0.8473,0.8757
9,0.3406,0.4824,83.37,0.9073,0.8905,0.9828,0.8773,0.8707,0.9224,0.9003,0.8291,0.9635,0.8141,0.7665,0.9162,0.7254
10,0.3024,0.4473,84.64,0.9148,0.8961,0.9847,0.8898,0.8760,0.9264,0.9160,0.8070,0.9574,0.8535,0.7253,0.9042,0.8410
11,0.2694,0.4549,84.15,0.9225,0.9125,0.9877,0.8889,0.8889,0.9387,0.9183,0.8576,0.9909,0.7634,0.8791,0.8683,0.6994
12,0.2277,0.4430,84.88,0.9204,0.9128,0.9848,0.8914,0.8808,0.9415,0.9111,0.8228,0.9058,0.7944,0.7857,0.9251,0.8671
13,0.1970,0.4749,84.00,0.9116,0.8984,0.9869,0.8711,0.8750,0.9309,0.9074,0.7468,0.9696,0.7296,0.8544,0.8473,0.8931
14,0.1679,0.4518,85.27,0.9204,0.9060,0.9879,0.8897,0.8927,0.9446,0.9017,0.8323,0.9787,0.8338,0.8379,0.8862,0.7543
15,0.1298,0.4954,84.05,0.9151,0.9141,0.9831,0.8800,0.8751,0.9422,0.8960,0.8734,0.8997,0.8028,0.7692,0.8922,0.8179
16,0.1096,0.4932,84.15,0.9187,0.9066,0.9880,0.8793,0.8834,0.9430,0.9118,0.8513,0.9453,0.7437,0.7555,0.9251,0.8439
17,0.0997,0.4788,84.88,0.9172,0.9090,0.9881,0.8719,0.8800,0.9451,0.9093,0.7563,0.9848,0.7915,0.8077,0.8862,0.8699
18,0.0759,0.5432,82.83,0.9071,0.9075,0.9871,0.8590,0.8458,0.9430,0.9004,0.9051,0.9544,0.7183,0.7830,0.9072,0.7225
19,0.0624,0.5606,83.17,0.9111,0.9153,0.9865,0.8620,0.8731,0.9326,0.8971,0.7722,0.9878,0.7944,0.8571,0.7994,0.7803
20,0.0489,0.6098,81.65,0.9045,0.9112,0.9825,0.8528,0.8468,0.9381,0.8959,0.7595,0.9878,0.7183,0.8764,0.8204,0.7399
21,0.0516,0.5809,83.17,0.9093,0.9128,0.9850,0.8599,0.8551,0.9420,0.9007,0.9177,0.9818,0.8085,0.7143,0.8952,0.6965
22,0.0486,0.5740,83.51,0.9053,0.9120,0.9846,0.8437,0.8481,0.9383,0.9050,0.7785,0.9635,0.7268,0.8571,0.8503,0.8382
23,0.0375,0.5399,84.74,0.9118,0.9136,0.9869,0.8588,0.8630,0.9432,0.9051,0.8101,0.9635,0.7408,0.8297,0.8982,0.8497
24,0.0311,0.5481,84.93,0.9171,0.9192,0.9862,0.8683,0.8783,0.9423,0.9081,0.7943,0.9757,0.8423,0.7940,0.8383,0.8555
25,0.0275,0.5367,85.13,0.9170,0.9186,0.9870,0.8671,0.8753,0.9458,0.9084,0.8006,0.9726,0.7831,0.8187,0.8802,0.8584
