epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.0024,0.7475,73.34,0.8126,0.8048,0.9072,0.7189,0.7859,0.8040,0.8547,0.6867,0.8815,0.5437,0.8049,0.7545,0.7341
2,0.6783,0.6045,77.94,0.8796,0.9004,0.9850,0.8073,0.8158,0.8584,0.9104,0.8449,0.9696,0.8085,0.8159,0.4701,0.7688
3,0.5647,0.5127,81.07,0.9004,0.9138,0.9780,0.8582,0.8331,0.9189,0.9002,0.7468,0.9605,0.7324,0.7390,0.9251,0.7717
4,0.4869,0.5424,80.19,0.9086,0.9234,0.9847,0.8814,0.8660,0.9131,0.8829,0.9494,0.9240,0.7296,0.8242,0.7725,0.6301
5,0.4388,0.4625,83.32,0.9157,0.9322,0.9909,0.8941,0.8125,0.9357,0.9289,0.9272,0.9453,0.6789,0.7170,0.9431,0.8150
6,0.3927,0.4603,83.86,0.9230,0.9387,0.9920,0.8807,0.8805,0.9045,0.9413,0.8449,0.9635,0.5887,0.8874,0.8772,0.8815
7,0.3708,0.4297,84.15,0.9268,0.9262,0.9922,0.8682,0.8900,0.9475,0.9367,0.8418,0.9848,0.8197,0.7473,0.9162,0.7543
8,0.3189,0.3779,86.64,0.9464,0.9536,0.9899,0.9102,0.9151,0.9582,0.9517,0.9367,0.9696,0.8535,0.7747,0.9042,0.7775
9,0.2910,0.3996,86.89,0.9336,0.9304,0.9913,0.8866,0.9019,0.9445,0.9469,0.8133,0.9726,0.7718,0.9176,0.8383,0.8988
10,0.2613,0.5116,83.46,0.9168,0.9346,0.9892,0.8553,0.8794,0.9049,0.9377,0.7943,0.9483,0.8704,0.7775,0.7096,0.9075
11,0.2325,0.4467,85.91,0.9413,0.9368,0.9937,0.8950,0.9086,0.9612,0.9526,0.8829,0.9939,0.8423,0.7967,0.8982,0.7543
12,0.1965,0.9125,74.95,0.8874,0.8718,0.9830,0.8860,0.7663,0.9041,0.9134,0.9525,0.8936,0.7465,0.5467,0.7365,0.6561
13,0.1714,0.4826,85.52,0.9274,0.9308,0.9920,0.8828,0.8903,0.9358,0.9326,0.8481,0.9939,0.7690,0.7830,0.8952,0.8555
14,0.1493,0.5298,82.78,0.9186,0.9286,0.9887,0.8528,0.8621,0.9495,0.9296,0.9082,0.9422,0.7549,0.6566,0.9251,0.8064
15,0.1185,0.5329,85.52,0.9300,0.9279,0.9934,0.8622,0.8960,0.9538,0.9468,0.8829,0.9787,0.7831,0.8352,0.8323,0.8295
16,0.1030,0.5217,85.13,0.9307,0.9173,0.9955,0.8777,0.8890,0.9585,0.9460,0.8924,0.8906,0.7972,0.7665,0.9281,0.8468
17,0.1005,0.8389,81.65,0.9174,0.9272,0.9844,0.8827,0.8623,0.9363,0.9114,0.9335,0.8511,0.9014,0.7280,0.6946,0.8006
18,0.0827,0.4838,87.18,0.9366,0.9377,0.9927,0.8846,0.8966,0.9559,0.9519,0.8766,0.9514,0.7887,0.8681,0.8533,0.8988
19,0.0651,0.5392,86.25,0.9365,0.9436,0.9936,0.8871,0.8832,0.9555,0.9560,0.9114,0.9726,0.8366,0.7912,0.8323,0.8439
20,0.0591,0.5562,86.40,0.9344,0.9419,0.9917,0.8846,0.8799,0.9622,0.9459,0.8861,0.9939,0.8028,0.8214,0.8623,0.8295
21,0.0496,0.8190,83.95,0.9319,0.9391,0.9925,0.8842,0.8739,0.9432,0.9582,0.8861,0.9909,0.9070,0.5742,0.8832,0.8208
22,0.0467,0.6669,84.93,0.9297,0.9348,0.9870,0.8846,0.8942,0.9449,0.9328,0.8734,0.9058,0.8507,0.7665,0.8263,0.8815
23,0.0418,0.8095,81.85,0.9072,0.9112,0.9305,0.8692,0.8748,0.9526,0.9047,0.8892,0.7052,0.7493,0.8159,0.8653,0.8902
24,0.0452,0.6007,86.45,0.9315,0.9443,0.9927,0.8717,0.8891,0.9432,0.9478,0.8544,0.9605,0.8451,0.8187,0.8323,0.8815
25,0.0298,0.6743,87.04,0.9318,0.9322,0.9941,0.8727,0.8840,0.9614,0.9464,0.8513,0.9848,0.7521,0.8654,0.9042,0.8728
26,0.0281,0.7315,85.96,0.9342,0.9386,0.9951,0.8798,0.8794,0.9572,0.9549,0.9082,0.9787,0.6986,0.9121,0.8383,0.8324
27,0.0226,0.7152,86.06,0.9332,0.9324,0.9899,0.8667,0.8976,0.9642,0.9484,0.8766,0.9878,0.7042,0.8269,0.9401,0.8439
28,0.0427,0.6610,87.92,0.9352,0.9369,0.9945,0.8763,0.8880,0.9604,0.9548,0.8608,0.9878,0.8113,0.8434,0.8563,0.9220
29,0.0367,0.6795,86.06,0.9361,0.9390,0.9879,0.8828,0.8850,0.9667,0.9552,0.9209,0.9878,0.8451,0.7802,0.8832,0.7630
30,0.0172,0.6448,87.62,0.9398,0.9405,0.9907,0.8796,0.9113,0.9659,0.9508,0.8513,0.9909,0.7831,0.8764,0.8802,0.8815
31,0.0173,0.6455,88.06,0.9425,0.9437,0.9938,0.8827,0.9075,0.9701,0.9573,0.8703,0.9605,0.7944,0.8681,0.9012,0.8960
32,0.0215,0.7412,87.72,0.9366,0.9402,0.9939,0.8824,0.8898,0.9644,0.9490,0.8576,0.9848,0.7972,0.8407,0.8922,0.8988
33,0.0115,0.7086,86.74,0.9352,0.9368,0.9913,0.8804,0.8840,0.9656,0.9533,0.8544,0.9909,0.8366,0.7775,0.8743,0.8815
34,0.0070,0.7939,87.43,0.9369,0.9375,0.9941,0.8833,0.8876,0.9649,0.9539,0.8892,0.9818,0.8085,0.8929,0.8383,0.8410
35,0.0129,0.7124,87.92,0.9403,0.9386,0.9920,0.8849,0.9031,0.9671,0.9562,0.8608,0.9848,0.8394,0.8104,0.8832,0.9046
