epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
39,0.0251,0.8267,83.12,0.9066,0.9053,0.9877,0.8565,0.8275,0.9420,0.9207,0.8576,0.9878,0.7831,0.7610,0.9222,0.6936
40,0.0203,0.7724,84.83,0.9108,0.9158,0.9883,0.8388,0.8569,0.9377,0.9270,0.7816,0.9605,0.7944,0.8544,0.8323,0.8671
41,0.0169,0.7545,85.03,0.9127,0.9197,0.9885,0.8543,0.8608,0.9338,0.9191,0.8386,0.9696,0.7803,0.8049,0.8623,0.8555
42,0.0158,0.9594,82.83,0.9005,0.9128,0.9838,0.8329,0.8262,0.9402,0.9069,0.8196,0.9635,0.8761,0.6841,0.8832,0.7572
43,0.0337,0.7182,85.03,0.9156,0.9246,0.9923,0.8512,0.8555,0.9394,0.9309,0.8291,0.9757,0.8028,0.7775,0.8683,0.8584
44,0.0091,0.7502,84.93,0.9131,0.9287,0.9918,0.8384,0.8470,0.9311,0.9416,0.8386,0.9878,0.7296,0.7720,0.8892,0.8931
45,0.0119,0.8183,83.90,0.9042,0.9147,0.9919,0.8212,0.8438,0.9266,0.9268,0.8070,0.9939,0.7155,0.8407,0.8443,0.8410
46,0.0226,0.7665,84.93,0.9212,0.9295,0.9918,0.8691,0.8663,0.9402,0.9305,0.8639,0.9574,0.8423,0.7885,0.7844,0.8671
47,0.0174,0.7824,84.88,0.9159,0.9167,0.9920,0.8650,0.8595,0.9368,0.9253,0.8196,0.9909,0.8113,0.7885,0.8563,0.8353
48,0.0297,1.0149,80.28,0.8848,0.9007,0.9595,0.7949,0.8481,0.9100,0.8953,0.8797,0.7629,0.7690,0.7280,0.8323,0.8555
49,0.0253,0.8811,83.41,0.8979,0.9070,0.9917,0.8290,0.8202,0.9351,0.9046,0.8418,0.9909,0.7324,0.7720,0.8772,0.8064
50,0.0175,0.7685,86.01,0.9135,0.9252,0.9929,0.8446,0.8430,0.9440,0.9312,0.8418,0.9878,0.8113,0.7912,0.8713,0.8671
