epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9747,0.7178,72.21,0.8033,0.7975,0.9625,0.7833,0.7139,0.7320,0.8303,0.5665,0.9210,0.6423,0.5879,0.7635,0.8584
2,0.6879,0.7847,70.94,0.8238,0.7998,0.9530,0.8173,0.7262,0.7893,0.8572,0.8196,0.7295,0.7859,0.4423,0.6647,0.8353
3,0.5723,0.5171,81.46,0.9008,0.8797,0.9799,0.8640,0.8599,0.9134,0.9079,0.6994,0.9544,0.7944,0.8434,0.7126,0.8757
4,0.5158,0.6030,80.48,0.8779,0.9122,0.9701,0.8160,0.8398,0.8408,0.8888,0.8006,0.9848,0.6817,0.8159,0.8084,0.7486
5,0.4698,0.5437,79.55,0.8975,0.9025,0.9680,0.8716,0.8434,0.8915,0.9083,0.7563,0.7660,0.6310,0.8626,0.8114,0.9422
6,0.4392,0.4054,85.57,0.9316,0.9458,0.9889,0.8919,0.8743,0.9437,0.9451,0.9241,0.9696,0.8592,0.7363,0.8952,0.7688
7,0.4120,0.4939,82.88,0.9057,0.9096,0.9856,0.8493,0.8771,0.8879,0.9248,0.7627,0.9635,0.7718,0.7308,0.8982,0.8555
8,0.3732,0.4558,83.27,0.9245,0.9248,0.9836,0.8836,0.8871,0.9528,0.9149,0.8418,0.8085,0.7521,0.8736,0.8204,0.8988
9,0.3487,0.4720,83.22,0.9308,0.9364,0.9828,0.8902,0.8917,0.9496,0.9342,0.9146,0.9635,0.5944,0.9203,0.8982,0.7197
10,0.3182,0.7002,75.15,0.8851,0.8799,0.9466,0.8728,0.8180,0.8833,0.9102,0.8544,0.6231,0.6873,0.5769,0.8892,0.8960
