epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
39,0.0452,0.6974,85.86,0.9295,0.9410,0.9873,0.8788,0.8802,0.9592,0.9302,0.7848,0.9878,0.7775,0.7967,0.9431,0.8699
40,0.0252,0.6644,87.13,0.9370,0.9481,0.9928,0.8875,0.8847,0.9596,0.9491,0.8861,0.9544,0.8366,0.8022,0.8772,0.8815
41,0.0128,0.6781,87.72,0.9348,0.9435,0.9912,0.8776,0.8912,0.9498,0.9558,0.8829,0.9635,0.8423,0.8077,0.8563,0.9191
42,0.0306,0.7030,86.20,0.9338,0.9316,0.9914,0.8924,0.8860,0.9570,0.9443,0.9146,0.9939,0.8197,0.8297,0.8473,0.7803
43,0.0241,0.8642,85.52,0.9245,0.9245,0.9893,0.8865,0.8748,0.9314,0.9404,0.8703,0.9878,0.8817,0.7170,0.8503,0.8382
44,0.0322,0.6538,88.11,0.9411,0.9505,0.9919,0.8973,0.8889,0.9666,0.9512,0.8608,0.9757,0.8254,0.8297,0.8892,0.9133
45,0.0167,0.6464,88.65,0.9372,0.9484,0.9905,0.8870,0.8791,0.9659,0.9523,0.8544,0.9909,0.7634,0.8874,0.9251,0.9046
46,0.0109,0.7275,87.62,0.9348,0.9367,0.9896,0.8865,0.8967,0.9593,0.9398,0.8386,0.9818,0.8310,0.8379,0.8683,0.9046
47,0.0257,0.7712,86.84,0.9327,0.9429,0.9893,0.8856,0.8778,0.9504,0.9502,0.8734,0.9878,0.8620,0.7830,0.8802,0.8353
48,0.0177,0.6923,88.01,0.9353,0.9321,0.9886,0.8954,0.8909,0.9686,0.9363,0.8323,0.9757,0.8535,0.8049,0.8862,0.9335
49,0.0244,0.7540,86.11,0.9290,0.9325,0.9905,0.8789,0.8711,0.9628,0.9382,0.9241,0.9757,0.8282,0.7363,0.9222,0.8006
50,0.0222,0.6901,87.04,0.9291,0.9309,0.9839,0.8812,0.8847,0.9476,0.9465,0.8608,0.9483,0.8394,0.7967,0.8653,0.9191
