epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2501,1.1326,52.84,0.6389,0.5884,0.9171,0.5725,0.5764,0.4908,0.6881,0.3513,0.5775,0.8704,0.1346,0.3982,0.8324
2,0.8584,0.7305,71.67,0.7815,0.7928,0.9681,0.7663,0.6919,0.6358,0.8339,0.6519,0.9149,0.8028,0.6868,0.4611,0.7775
3,0.6961,0.5916,78.57,0.8697,0.8814,0.9771,0.8247,0.8013,0.8397,0.8937,0.7722,0.8298,0.7577,0.7527,0.7066,0.8960
4,0.5801,0.5598,81.56,0.8835,0.9098,0.9712,0.8377,0.8073,0.8868,0.8883,0.8228,0.8116,0.8338,0.7335,0.7934,0.9017
5,0.5042,0.4908,81.95,0.8945,0.8917,0.9829,0.8472,0.8561,0.8797,0.9093,0.8038,0.9544,0.7408,0.7610,0.8862,0.7832
6,0.4704,0.6269,77.59,0.8795,0.8658,0.9618,0.8593,0.8202,0.8913,0.8788,0.8354,0.6535,0.8761,0.5577,0.8323,0.9104
7,0.4366,0.4993,81.56,0.9086,0.9268,0.9815,0.8624,0.8573,0.9226,0.9010,0.8829,0.8541,0.8873,0.6456,0.8114,0.8266
8,0.3983,0.5836,80.48,0.8909,0.9102,0.9634,0.8521,0.8121,0.9118,0.8960,0.8038,0.9787,0.6986,0.7912,0.9042,0.6676
9,0.3673,0.5011,82.34,0.9119,0.9393,0.9856,0.8673,0.8634,0.8820,0.9339,0.6203,0.9149,0.8676,0.8049,0.7934,0.9249
10,0.3357,0.3999,86.35,0.9344,0.9436,0.9880,0.8886,0.8887,0.9545,0.9428,0.8956,0.9544,0.8789,0.7088,0.8892,0.8699
11,0.2976,0.6361,80.23,0.9114,0.9065,0.9645,0.8861,0.8837,0.9343,0.8931,0.8892,0.9939,0.7014,0.8791,0.8533,0.5145
12,0.2687,0.4175,85.71,0.9333,0.9433,0.9874,0.8869,0.8885,0.9483,0.9451,0.8481,0.9878,0.8676,0.8049,0.8024,0.8382
13,0.2446,0.4338,84.98,0.9236,0.9386,0.9864,0.8701,0.8693,0.9391,0.9382,0.8924,0.9605,0.6789,0.8489,0.8982,0.8353
14,0.2034,0.4369,86.40,0.9260,0.9434,0.9895,0.8644,0.8853,0.9261,0.9473,0.8576,0.9757,0.8648,0.8269,0.7994,0.8642
15,0.1624,0.4623,87.04,0.9296,0.9331,0.9870,0.8928,0.8759,0.9567,0.9324,0.8386,0.9848,0.8056,0.8489,0.8982,0.8526
16,0.1397,0.5399,85.37,0.9216,0.9327,0.9863,0.8773,0.8429,0.9432,0.9474,0.8703,0.9818,0.7944,0.8379,0.7844,0.8613
17,0.1187,0.5953,84.83,0.9160,0.9195,0.9888,0.8521,0.8614,0.9401,0.9340,0.8259,0.9635,0.7465,0.8984,0.7545,0.9017
18,0.1018,0.5498,85.52,0.9213,0.9268,0.9902,0.8695,0.8681,0.9378,0.9354,0.8544,0.9878,0.7915,0.8159,0.8443,0.8468
19,0.0838,0.6244,84.05,0.9173,0.9183,0.9832,0.8655,0.8635,0.9426,0.9310,0.8797,0.9757,0.6507,0.8654,0.8862,0.8006
20,0.0720,0.7795,82.14,0.9124,0.9198,0.9837,0.8748,0.8440,0.9337,0.9186,0.9241,0.9483,0.8254,0.7390,0.8323,0.6792
21,0.0623,0.6107,86.25,0.9265,0.9261,0.9875,0.8786,0.8725,0.9554,0.9390,0.8829,0.9605,0.8254,0.8352,0.8503,0.8295
22,0.0712,0.6011,85.67,0.9223,0.9255,0.9846,0.8773,0.8685,0.9479,0.9299,0.8861,0.9574,0.7268,0.8132,0.9162,0.8555
23,0.0583,0.6406,84.15,0.9209,0.9354,0.9901,0.8611,0.8697,0.9282,0.9407,0.8892,0.9696,0.8423,0.7610,0.8024,0.7977
24,0.0517,0.5983,86.06,0.9289,0.9382,0.9883,0.8844,0.8688,0.9588,0.9351,0.8987,0.9878,0.7944,0.7747,0.9012,0.8237
25,0.0594,0.6959,84.54,0.9175,0.9146,0.9850,0.8682,0.8594,0.9492,0.9289,0.8829,0.9392,0.7239,0.8791,0.8713,0.7861
