epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2454,0.9333,65.56,0.6932,0.5734,0.9313,0.6956,0.7216,0.5424,0.6951,0.5570,0.8024,0.7408,0.6401,0.4760,0.7081
2,0.8521,0.7331,73.78,0.7970,0.7620,0.9673,0.7874,0.7551,0.6738,0.8367,0.7532,0.9149,0.6873,0.7005,0.6587,0.7225
3,0.6763,0.6102,78.38,0.8511,0.8313,0.9756,0.8261,0.7848,0.8149,0.8741,0.7658,0.9027,0.7380,0.7308,0.7455,0.8266
4,0.5779,0.5434,80.23,0.8800,0.8568,0.9753,0.8416,0.8379,0.8906,0.8778,0.6424,0.9514,0.8085,0.7088,0.8653,0.8382
5,0.5102,0.4930,83.41,0.8956,0.8891,0.9839,0.8553,0.8535,0.8938,0.8977,0.7500,0.9574,0.7831,0.8159,0.8533,0.8468
6,0.4633,0.5416,80.48,0.8924,0.8987,0.9846,0.8460,0.8553,0.8816,0.8881,0.7373,0.9878,0.8338,0.8132,0.6557,0.7977
7,0.4157,0.4726,83.02,0.9078,0.9044,0.9781,0.8753,0.8669,0.9176,0.9046,0.7816,0.9605,0.7944,0.8049,0.7814,0.8613
8,0.3791,0.4635,83.17,0.9151,0.9118,0.9860,0.8842,0.8733,0.9323,0.9030,0.6519,0.9818,0.8225,0.7500,0.8892,0.8931
9,0.3453,0.4984,82.34,0.9058,0.8928,0.9810,0.8783,0.8702,0.9120,0.9004,0.8006,0.9818,0.8000,0.8022,0.8623,0.7023
10,0.3010,0.4342,85.13,0.9181,0.9005,0.9851,0.8872,0.8843,0.9349,0.9165,0.7595,0.9635,0.8394,0.8104,0.8683,0.8671
11,0.2744,0.4504,84.25,0.9240,0.9161,0.9899,0.8918,0.8859,0.9401,0.9203,0.8671,0.9909,0.7690,0.8764,0.8563,0.7052
12,0.2325,0.4659,84.10,0.9210,0.9134,0.9824,0.8932,0.8833,0.9453,0.9086,0.8133,0.8359,0.8197,0.7582,0.9102,0.9133
13,0.2033,0.4664,84.10,0.9129,0.8978,0.9878,0.8820,0.8698,0.9322,0.9079,0.7627,0.9514,0.7352,0.8407,0.8593,0.8988
14,0.1710,0.4323,85.32,0.9248,0.9157,0.9879,0.8992,0.8873,0.9501,0.9089,0.7880,0.9818,0.7972,0.8324,0.8862,0.8382
15,0.1341,0.4994,83.56,0.9139,0.8931,0.9847,0.8858,0.8634,0.9450,0.9111,0.7658,0.8936,0.7972,0.7527,0.9012,0.9075
16,0.1118,0.4951,85.08,0.9205,0.9116,0.9879,0.8798,0.8901,0.9492,0.9045,0.8671,0.9301,0.8000,0.7692,0.9431,0.8092
17,0.1029,0.5042,84.69,0.9153,0.9131,0.9895,0.8738,0.8744,0.9411,0.9001,0.7089,0.9757,0.8169,0.8104,0.8653,0.9017
18,0.0786,0.4879,84.78,0.9176,0.9164,0.9876,0.8799,0.8635,0.9480,0.9105,0.8703,0.9726,0.7662,0.8489,0.8653,0.7746
19,0.0663,0.4852,85.08,0.9215,0.9177,0.9902,0.8807,0.8839,0.9414,0.9153,0.8038,0.9818,0.7972,0.8214,0.8503,0.8555
20,0.0507,0.6583,81.41,0.9032,0.9082,0.9744,0.8570,0.8545,0.9447,0.8805,0.7911,0.9939,0.7070,0.9093,0.8234,0.6647
21,0.0542,0.5730,84.30,0.9130,0.9072,0.9871,0.8770,0.8613,0.9415,0.9038,0.8481,0.9939,0.8394,0.8214,0.8533,0.7110
22,0.0542,0.6111,83.46,0.9041,0.9138,0.9843,0.8351,0.8423,0.9427,0.9061,0.7943,0.9878,0.7183,0.8901,0.8443,0.7775
23,0.0415,0.5158,85.86,0.9167,0.9138,0.9877,0.8662,0.8754,0.9517,0.9054,0.8734,0.9544,0.8028,0.8049,0.8952,0.8324
24,0.0352,0.5721,84.20,0.9115,0.9192,0.9868,0.8589,0.8585,0.9403,0.9055,0.7405,0.9726,0.8338,0.8077,0.8204,0.8757
25,0.0297,0.5398,85.76,0.9149,0.9176,0.9878,0.8636,0.8681,0.9497,0.9025,0.8070,0.9848,0.7662,0.8654,0.8802,0.8468
