epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9729,1.0080,63.26,0.7258,0.7870,0.9524,0.5135,0.6914,0.6236,0.7870,0.5411,0.9027,0.4056,0.7830,0.6467,0.5202
2,0.7046,0.7314,72.70,0.8328,0.8394,0.9663,0.8199,0.7899,0.8268,0.7543,0.8671,0.6140,0.8028,0.6676,0.7275,0.6908
3,0.5863,0.4890,84.00,0.9055,0.9044,0.9847,0.8644,0.8407,0.9111,0.9277,0.7437,0.9422,0.6986,0.8489,0.8802,0.9277
4,0.5272,0.4391,84.30,0.9193,0.9192,0.9875,0.8816,0.8737,0.9268,0.9273,0.8323,0.9240,0.7437,0.8462,0.8563,0.8613
5,0.4889,0.6715,76.08,0.8636,0.8884,0.9639,0.8527,0.7460,0.8419,0.8888,0.8259,0.8967,0.8563,0.4258,0.8832,0.7081
6,0.4404,0.4641,83.86,0.9189,0.9370,0.9819,0.8634,0.8630,0.9321,0.9360,0.8861,0.9696,0.7127,0.7637,0.9431,0.7775
7,0.4221,0.4235,85.76,0.9262,0.9350,0.9876,0.8854,0.8789,0.9399,0.9305,0.8038,0.9726,0.7859,0.8599,0.8653,0.8613
8,0.3865,0.3934,86.01,0.9338,0.9476,0.9916,0.8914,0.9030,0.9329,0.9364,0.8038,0.9878,0.7465,0.8929,0.8353,0.8960
9,0.3582,0.4449,83.51,0.9287,0.9397,0.9926,0.8834,0.8874,0.9349,0.9340,0.9114,0.9331,0.8761,0.8049,0.7186,0.7746
10,0.3412,0.4356,84.54,0.9312,0.9368,0.9901,0.8948,0.8855,0.9443,0.9356,0.7880,0.9453,0.8958,0.7692,0.7725,0.9017
11,0.3104,0.4717,83.17,0.9307,0.9436,0.9863,0.9015,0.8901,0.9559,0.9071,0.9525,0.9027,0.7972,0.7308,0.9431,0.6879
12,0.2847,0.4642,84.69,0.9307,0.9298,0.9721,0.8970,0.9080,0.9566,0.9204,0.8861,0.7842,0.8225,0.7830,0.9162,0.8960
13,0.2488,0.5023,82.24,0.9284,0.9278,0.9848,0.8939,0.8684,0.9640,0.9315,0.9272,0.8723,0.7239,0.7665,0.9461,0.7197
14,0.2357,0.4407,85.27,0.9288,0.9368,0.9915,0.8912,0.8800,0.9333,0.9400,0.9272,0.9696,0.8310,0.7610,0.8353,0.8092
15,0.2059,0.5813,81.36,0.9160,0.9130,0.9883,0.8770,0.8654,0.9441,0.9083,0.9177,0.8571,0.7803,0.8022,0.8204,0.7168
16,0.1762,0.3886,87.18,0.9442,0.9470,0.9947,0.9068,0.8994,0.9654,0.9522,0.8924,0.9939,0.7606,0.8571,0.9102,0.8295
17,0.1649,0.4173,87.04,0.9378,0.9438,0.9905,0.8755,0.9035,0.9618,0.9518,0.8703,0.9848,0.7718,0.8929,0.8772,0.8324
18,0.1424,0.5075,85.08,0.9308,0.9254,0.9905,0.9017,0.8763,0.9604,0.9303,0.9177,0.9666,0.8761,0.7445,0.8653,0.7514
19,0.1050,0.5132,86.50,0.9336,0.9345,0.9921,0.8837,0.8982,0.9532,0.9402,0.7880,0.9787,0.7775,0.7830,0.9491,0.9220
20,0.1004,0.6092,84.44,0.9255,0.9290,0.9923,0.8717,0.8774,0.9391,0.9439,0.9051,0.9757,0.6845,0.8736,0.7934,0.8468
21,0.0902,0.6609,84.20,0.9170,0.9264,0.9906,0.8633,0.8517,0.9444,0.9257,0.7627,0.9909,0.6197,0.8571,0.9341,0.8960
22,0.0694,0.5005,86.64,0.9379,0.9461,0.9931,0.8889,0.8887,0.9580,0.9525,0.8386,0.9635,0.7972,0.8599,0.8503,0.8931
