epoch,train_loss,val_loss,val_acc
1,1.3120,1.7215,42.91
2,0.9107,0.9440,64.53
3,0.7388,0.8020,70.65
4,0.6005,0.6717,75.64
5,0.5105,0.6477,76.96
6,0.4134,0.7182,73.92
7,0.3888,0.7307,74.27
8,0.3393,0.6824,77.74
9,0.2871,0.7492,76.22
10,0.2516,0.7238,76.66
11,0.2324,0.6867,77.25
12,0.2213,0.7748,77.89
13,0.1857,0.9526,75.83
14,0.1555,0.8362,77.40
15,0.1805,0.8214,77.45
16,0.1452,0.7594,78.86
17,0.1275,0.7907,78.91
18,0.1566,0.8858,77.98
19,0.1131,0.9037,79.55
20,0.0707,0.7851,80.97
21,0.0815,0.7897,81.51
22,0.0763,0.7810,81.80
23,0.0923,0.9301,79.16
