epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2618,0.9558,64.58,0.7212,0.6938,0.9410,0.6881,0.6488,0.5621,0.7936,0.5981,0.9757,0.5577,0.6181,0.6108,0.5289
2,0.8580,0.9003,66.63,0.7678,0.7840,0.9536,0.7235,0.6766,0.6669,0.8019,0.4177,0.9696,0.8507,0.6429,0.4641,0.6358
3,0.7080,0.7608,72.21,0.8311,0.8241,0.9618,0.7768,0.7586,0.8134,0.8517,0.8418,0.6079,0.7606,0.6813,0.6317,0.8121
4,0.6080,0.5349,79.84,0.8792,0.9024,0.9753,0.8341,0.8134,0.8517,0.8983,0.8449,0.9331,0.7183,0.7033,0.8293,0.7803
5,0.5336,0.5320,81.12,0.8887,0.9073,0.9792,0.8343,0.8133,0.8880,0.9103,0.7627,0.9149,0.6310,0.8489,0.8623,0.8526
6,0.4782,0.4929,82.78,0.9090,0.9216,0.9859,0.8682,0.8510,0.9070,0.9202,0.6930,0.9666,0.8732,0.7473,0.7635,0.9191
7,0.4363,0.4694,84.20,0.9123,0.9192,0.9778,0.8721,0.8585,0.9189,0.9274,0.8259,0.9544,0.8085,0.8104,0.8234,0.8353
8,0.4100,0.9213,69.72,0.8530,0.8811,0.9150,0.8722,0.7551,0.8966,0.7978,0.9462,0.6413,0.6310,0.6071,0.8982,0.4913
9,0.3798,0.4348,85.47,0.9183,0.9196,0.9872,0.8681,0.8750,0.9253,0.9347,0.8291,0.9757,0.8338,0.8187,0.7964,0.8786
10,0.3294,0.4145,85.37,0.9263,0.9406,0.9865,0.8755,0.8615,0.9455,0.9485,0.8386,0.9757,0.7155,0.8819,0.8743,0.8439
11,0.3064,0.4284,85.47,0.9230,0.9191,0.9857,0.8760,0.8805,0.9409,0.9356,0.7310,0.9726,0.8141,0.8297,0.8653,0.9133
12,0.2600,0.5169,83.95,0.9241,0.9224,0.9878,0.8812,0.8917,0.9179,0.9436,0.8006,0.9271,0.8817,0.8022,0.6886,0.9335
13,0.2372,0.5302,83.27,0.9114,0.9226,0.9878,0.8571,0.8782,0.9002,0.9224,0.8924,0.8997,0.6648,0.8187,0.8563,0.8786
14,0.1996,0.4443,86.89,0.9309,0.9317,0.9852,0.8924,0.8971,0.9420,0.9372,0.8354,0.9696,0.7831,0.8379,0.9222,0.8728
15,0.1703,0.4761,84.74,0.9269,0.9402,0.9908,0.8969,0.8552,0.9306,0.9475,0.8386,0.9878,0.8056,0.7170,0.9012,0.8497
16,0.1370,0.7497,79.55,0.8925,0.8902,0.9812,0.8604,0.8261,0.8738,0.9234,0.8354,0.9119,0.8479,0.6484,0.7695,0.7746
17,0.1176,0.5506,86.59,0.9281,0.9308,0.9874,0.8833,0.8880,0.9423,0.9368,0.8513,0.9726,0.8338,0.7335,0.9281,0.8902
18,0.0998,0.5290,85.47,0.9304,0.9410,0.9866,0.8920,0.8691,0.9532,0.9403,0.9177,0.9514,0.7887,0.8379,0.8234,0.8208
19,0.0863,0.5702,86.15,0.9385,0.9457,0.9920,0.8868,0.8948,0.9558,0.9562,0.8924,0.9818,0.8113,0.8654,0.7994,0.8266
20,0.0811,0.6011,87.13,0.9322,0.9394,0.9868,0.8867,0.8817,0.9471,0.9518,0.8797,0.9635,0.8592,0.8187,0.8084,0.9046
21,0.0711,0.5488,85.81,0.9317,0.9302,0.9912,0.8833,0.8928,0.9478,0.9450,0.8639,0.9848,0.7662,0.8681,0.8443,0.8295
22,0.0630,0.7374,83.37,0.9132,0.9288,0.9858,0.8200,0.8929,0.9048,0.9468,0.8513,0.9453,0.5972,0.8159,0.9251,0.8844
23,0.0516,0.7499,84.00,0.9190,0.9200,0.9814,0.8795,0.8829,0.9315,0.9188,0.7500,0.9757,0.8113,0.8654,0.8174,0.8179
24,0.0671,0.7161,84.93,0.9206,0.8886,0.9874,0.8899,0.8699,0.9549,0.9326,0.7943,0.9392,0.8056,0.8297,0.7874,0.9393
25,0.0516,0.6724,86.50,0.9289,0.9270,0.9910,0.8898,0.8811,0.9418,0.9425,0.8449,0.9574,0.6958,0.8544,0.9222,0.9249
26,0.0514,0.6624,84.64,0.9215,0.9197,0.9864,0.8785,0.8694,0.9506,0.9241,0.7152,0.9422,0.8620,0.8379,0.8323,0.8815
27,0.0484,0.8511,82.44,0.9113,0.8925,0.9805,0.8957,0.8703,0.9041,0.9247,0.5949,0.9574,0.8479,0.7665,0.9102,0.8613
28,0.0444,0.9249,84.25,0.9097,0.8959,0.9875,0.8825,0.8733,0.8917,0.9272,0.6772,0.9757,0.8225,0.7995,0.8593,0.9162
29,0.0548,0.7250,85.27,0.9250,0.9205,0.9787,0.8810,0.8779,0.9468,0.9450,0.7373,0.9483,0.7803,0.8599,0.8743,0.9133
30,0.0430,0.7456,84.49,0.9164,0.8928,0.9865,0.8672,0.8936,0.9457,0.9126,0.8576,0.9635,0.7437,0.8077,0.8832,0.8266
31,0.0437,0.7040,86.25,0.9281,0.9300,0.9857,0.8816,0.8881,0.9393,0.9443,0.8418,0.9757,0.8479,0.7720,0.8683,0.8786
32,0.0249,0.8382,84.54,0.9231,0.9227,0.9849,0.8737,0.8846,0.9402,0.9324,0.7880,0.9514,0.8366,0.8571,0.7904,0.8468
33,0.0291,0.9385,84.34,0.9049,0.9054,0.9890,0.8457,0.8858,0.8770,0.9262,0.8797,0.9696,0.6986,0.8242,0.8772,0.8266
34,0.0373,0.9063,84.49,0.9126,0.9128,0.9859,0.8683,0.8480,0.9228,0.9380,0.8418,0.9422,0.7915,0.8159,0.7934,0.8902
35,0.0428,0.7889,85.86,0.9284,0.9281,0.9848,0.8713,0.8964,0.9499,0.9400,0.8956,0.9483,0.8056,0.8297,0.9012,0.7832
36,0.0220,0.7790,86.64,0.9389,0.9312,0.9877,0.9012,0.9136,0.9579,0.9416,0.8291,0.9635,0.7887,0.9011,0.8293,0.8873
37,0.0433,0.7578,85.62,0.9280,0.9176,0.9863,0.8912,0.8965,0.9497,0.9266,0.7595,0.9818,0.7915,0.8709,0.8503,0.8815
38,0.0185,0.7112,87.62,0.9402,0.9404,0.9881,0.8997,0.9048,0.9594,0.9486,0.8449,0.9726,0.8310,0.8379,0.8653,0.9104
39,0.0356,0.9286,84.05,0.9214,0.9206,0.9835,0.8566,0.8857,0.9447,0.9375,0.8734,0.9331,0.7887,0.8791,0.7605,0.8121
40,0.0312,0.7695,86.74,0.9291,0.9171,0.9864,0.8921,0.8966,0.9537,0.9290,0.8291,0.9726,0.7887,0.8819,0.8383,0.8960
41,0.0263,0.8567,85.08,0.9260,0.9369,0.9863,0.8722,0.8763,0.9516,0.9329,0.9399,0.9483,0.8113,0.8297,0.7934,0.7948
42,0.0322,0.7467,85.03,0.9239,0.9141,0.9889,0.8822,0.8747,0.9492,0.9342,0.8101,0.9696,0.7690,0.8571,0.8862,0.8150
43,0.0174,0.7706,87.82,0.9326,0.9278,0.9878,0.8952,0.8879,0.9588,0.9383,0.8544,0.9666,0.8535,0.8379,0.8892,0.8728
44,0.0483,0.7430,86.30,0.9303,0.9273,0.9879,0.8892,0.8877,0.9506,0.9393,0.8766,0.9696,0.8507,0.8352,0.8174,0.8353
45,0.0200,0.8324,86.79,0.9218,0.9227,0.9859,0.8623,0.8753,0.9547,0.9298,0.8354,0.9757,0.7803,0.8626,0.8862,0.8728
46,0.0135,0.9165,86.35,0.9221,0.9220,0.9823,0.8778,0.8708,0.9472,0.9327,0.8259,0.9483,0.7775,0.8516,0.8952,0.8873
47,0.0329,0.8577,85.42,0.9231,0.9265,0.9862,0.8696,0.8776,0.9413,0.9377,0.9114,0.9757,0.7380,0.8654,0.8683,0.7803
48,0.0252,0.9397,85.62,0.9203,0.9182,0.9897,0.8651,0.8761,0.9337,0.9387,0.8323,0.9635,0.6817,0.8874,0.8982,0.8815
49,0.0204,1.1923,83.02,0.9088,0.9035,0.9693,0.8716,0.8595,0.9457,0.9033,0.8924,0.7903,0.8338,0.7473,0.8114,0.9133
50,0.0202,0.8926,85.81,0.9218,0.9041,0.9873,0.8752,0.8749,0.9522,0.9369,0.8196,0.9666,0.7324,0.8187,0.8892,0.9306
