epoch,train_loss,val_loss,val_acc
1,1.2331,1.0747,60.67
2,0.8233,0.8511,68.88
3,0.6642,0.6975,75.44
4,0.5363,0.5707,79.21
5,0.4555,0.8440,72.85
6,0.4096,0.6400,76.32
7,0.3460,0.6835,76.47
8,0.3115,0.7596,76.13
9,0.2899,0.6985,78.08
10,0.2403,0.6514,79.45
11,0.2173,0.8782,76.57
12,0.1985,0.7382,78.13
13,0.1734,0.8881,74.71
14,0.1622,0.8734,77.54
15,0.1783,0.7081,80.87
16,0.1210,0.9878,75.59
17,0.1266,0.7591,80.72
18,0.1297,0.7572,81.07
19,0.1115,0.8093,80.28
20,0.0842,0.7423,81.65
21,0.1279,0.7114,81.75
22,0.0984,0.7351,82.14
23,0.0764,0.8446,80.77
24,0.0990,0.7136,82.73
25,0.0760,0.7275,83.32
