epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2024,1.0408,61.01,0.6865,0.7202,0.8529,0.6937,0.6816,0.5785,0.5923,0.5032,0.5076,0.6366,0.7967,0.2665,0.9133
2,0.8378,0.7844,69.37,0.7949,0.7956,0.9527,0.7500,0.7857,0.6510,0.8346,0.5886,0.8632,0.4704,0.8187,0.5988,0.8179
3,0.6768,0.8152,70.69,0.8080,0.7379,0.9506,0.7763,0.7920,0.7758,0.8155,0.7911,0.9271,0.7887,0.5495,0.6257,0.5809
4,0.5841,0.4892,82.24,0.9068,0.9018,0.9824,0.8684,0.8501,0.9145,0.9238,0.8070,0.9514,0.7775,0.6264,0.9251,0.8671
5,0.5285,0.6464,78.13,0.8681,0.8730,0.9517,0.8351,0.8189,0.8798,0.8503,0.7690,0.9848,0.6479,0.8571,0.7066,0.7283
6,0.4751,0.4598,83.66,0.9115,0.9250,0.9843,0.8597,0.8560,0.9185,0.9253,0.7310,0.9271,0.8366,0.7473,0.8533,0.9249
7,0.4359,0.5255,81.85,0.9072,0.8971,0.9796,0.8674,0.8766,0.9142,0.9082,0.6361,0.9878,0.8394,0.8434,0.7725,0.8208
8,0.4004,0.4392,85.18,0.9181,0.9076,0.9839,0.8757,0.8867,0.9250,0.9296,0.8006,0.9514,0.8676,0.7802,0.8743,0.8410
9,0.3768,0.4467,84.49,0.9292,0.9313,0.9906,0.8938,0.8848,0.9357,0.9391,0.7437,0.9726,0.8732,0.6703,0.9132,0.9046
10,0.3500,0.5123,81.75,0.9154,0.9165,0.9904,0.8665,0.8628,0.9296,0.9266,0.9114,0.8632,0.6901,0.8104,0.8653,0.7803
11,0.3142,0.4573,84.25,0.9244,0.9418,0.9887,0.8722,0.8764,0.9275,0.9399,0.8070,0.9271,0.8845,0.7253,0.8413,0.8757
12,0.2890,0.4034,85.57,0.9383,0.9293,0.9865,0.8995,0.9152,0.9563,0.9433,0.8766,0.9453,0.9014,0.7418,0.8772,0.8035
13,0.2486,0.5424,82.39,0.9103,0.8958,0.9924,0.8570,0.8689,0.9340,0.9135,0.9335,0.9696,0.8056,0.7418,0.8772,0.6387
14,0.2195,0.4572,84.98,0.9251,0.9299,0.9922,0.8552,0.8777,0.9551,0.9404,0.8165,0.9878,0.6704,0.9341,0.8263,0.8671
15,0.1896,0.6210,81.70,0.9135,0.8895,0.9904,0.8711,0.8719,0.9245,0.9334,0.8544,0.9909,0.8254,0.8434,0.5808,0.8092
16,0.1616,0.5247,84.30,0.9210,0.9208,0.9885,0.8807,0.8678,0.9326,0.9356,0.8481,0.9483,0.8141,0.7005,0.9251,0.8382
17,0.1449,0.4650,86.25,0.9340,0.9079,0.9920,0.8927,0.9062,0.9570,0.9480,0.8418,0.9848,0.8535,0.8379,0.8832,0.7803
18,0.1098,0.6352,84.44,0.9215,0.9143,0.9884,0.8789,0.8831,0.9255,0.9389,0.7722,0.9483,0.8930,0.7582,0.7605,0.9335
19,0.0892,0.6530,85.18,0.9235,0.9114,0.9875,0.8817,0.8849,0.9468,0.9286,0.8861,0.9605,0.8197,0.8214,0.8743,0.7601
20,0.1045,0.6516,82.97,0.9250,0.9178,0.9829,0.8877,0.8890,0.9417,0.9308,0.7880,0.8602,0.8901,0.6896,0.8623,0.8931
21,0.0701,1.1488,73.34,0.8712,0.8511,0.9629,0.8527,0.7691,0.8984,0.8932,0.9177,0.6535,0.7944,0.5275,0.8263,0.7052
22,0.0815,0.5992,86.25,0.9335,0.9309,0.9927,0.8911,0.8977,0.9478,0.9406,0.8829,0.9848,0.8394,0.8324,0.8383,0.8064
23,0.0564,0.7258,84.30,0.9234,0.9323,0.9862,0.8667,0.8678,0.9585,0.9290,0.9367,0.9818,0.6986,0.8544,0.8503,0.7543
24,0.0616,0.5836,86.59,0.9291,0.9298,0.9932,0.8763,0.8783,0.9551,0.9416,0.8924,0.9605,0.7887,0.8352,0.8862,0.8439
25,0.0451,0.6887,86.20,0.9232,0.9136,0.9885,0.8747,0.8748,0.9515,0.9363,0.8386,0.9635,0.7521,0.8379,0.9192,0.8699
26,0.0649,0.7351,84.64,0.9189,0.9084,0.9865,0.8756,0.8720,0.9403,0.9308,0.8861,0.9605,0.8028,0.8132,0.8743,0.7543
27,0.0607,0.7744,82.68,0.9127,0.9225,0.9882,0.8847,0.8094,0.9385,0.9326,0.8924,0.9271,0.7296,0.6401,0.9491,0.8497
28,0.0323,0.7624,85.18,0.9244,0.9249,0.9911,0.8727,0.8642,0.9517,0.9415,0.9177,0.9878,0.8254,0.7940,0.8204,0.7803
29,0.0383,0.6741,85.81,0.9305,0.9337,0.9914,0.8696,0.8958,0.9438,0.9491,0.8386,0.9787,0.7437,0.7940,0.9341,0.8728
30,0.0451,0.6660,85.91,0.9276,0.9286,0.9928,0.8885,0.8741,0.9389,0.9427,0.8481,0.9939,0.8169,0.8049,0.8593,0.8410
31,0.0424,0.7806,86.35,0.9325,0.9201,0.9915,0.8936,0.8986,0.9592,0.9319,0.9367,0.9848,0.8028,0.8407,0.8922,0.7399
32,0.0503,0.7356,84.54,0.9245,0.9381,0.9886,0.8711,0.8685,0.9423,0.9386,0.9146,0.9878,0.6535,0.8819,0.8653,0.7861
33,0.0224,0.7471,85.71,0.9246,0.9266,0.9894,0.8713,0.8724,0.9442,0.9434,0.8481,0.9757,0.7803,0.8187,0.8802,0.8497
34,0.0378,0.7317,86.25,0.9224,0.9297,0.9929,0.8618,0.8595,0.9506,0.9398,0.8101,0.9878,0.8056,0.7885,0.8892,0.9017
35,0.0460,0.6817,86.64,0.9256,0.9285,0.9908,0.8783,0.8600,0.9580,0.9380,0.8639,0.9848,0.7972,0.7802,0.9222,0.8642
36,0.0252,0.8572,84.59,0.9140,0.9123,0.9818,0.8684,0.8571,0.9263,0.9383,0.8639,0.9301,0.8085,0.8214,0.7964,0.8613
37,0.0366,0.8767,83.66,0.9215,0.9175,0.9928,0.8656,0.8771,0.9423,0.9339,0.8576,0.9878,0.8676,0.7253,0.8802,0.7168
38,0.0218,0.7541,86.79,0.9303,0.9307,0.9878,0.8856,0.8893,0.9505,0.9382,0.8766,0.9848,0.8282,0.8599,0.8563,0.8092
39,0.0373,0.7542,86.59,0.9312,0.9353,0.9915,0.8835,0.8904,0.9515,0.9351,0.8386,0.9787,0.8451,0.7857,0.8952,0.8613
40,0.0323,0.7929,85.76,0.9161,0.9197,0.9916,0.8566,0.8631,0.9444,0.9214,0.8449,0.9757,0.7211,0.8516,0.9192,0.8439
41,0.0307,0.7775,86.01,0.9202,0.9189,0.9882,0.8794,0.8764,0.9440,0.9145,0.8449,0.9878,0.7521,0.8352,0.8802,0.8699
42,0.0336,1.1006,81.12,0.9065,0.9006,0.9844,0.8626,0.8571,0.9192,0.9155,0.9367,0.9635,0.8676,0.6566,0.8024,0.6647
43,0.0297,0.8526,85.52,0.9273,0.9312,0.9922,0.8698,0.8826,0.9494,0.9386,0.8544,0.9757,0.8676,0.8132,0.7545,0.8699
44,0.0167,0.8026,86.84,0.9271,0.9259,0.9928,0.8740,0.8819,0.9523,0.9360,0.8386,0.9757,0.8282,0.8489,0.8683,0.8555
45,0.0137,0.8083,87.33,0.9330,0.9276,0.9883,0.8785,0.9019,0.9585,0.9433,0.8703,0.9757,0.8592,0.8379,0.8593,0.8439
46,0.0350,0.9038,85.03,0.9138,0.9063,0.9892,0.8636,0.8382,0.9544,0.9310,0.8354,0.9757,0.7718,0.7995,0.8503,0.8786
47,0.0323,0.8354,85.42,0.9189,0.9081,0.9905,0.8743,0.8655,0.9449,0.9298,0.8386,0.9848,0.8366,0.7912,0.8623,0.8208
48,0.0204,1.0211,84.54,0.9118,0.9156,0.9862,0.8649,0.8698,0.9235,0.9109,0.7278,0.9544,0.8507,0.7857,0.8413,0.9104
49,0.0427,0.8783,85.32,0.9230,0.9132,0.9876,0.8777,0.8804,0.9508,0.9286,0.8829,0.9878,0.7634,0.8736,0.8084,0.8121
50,0.0205,0.8564,85.13,0.9232,0.9321,0.9919,0.8559,0.8720,0.9425,0.9448,0.8196,0.9787,0.7944,0.7967,0.8802,0.8468
