epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.6240,1.1708,52.30,0.5626,0.3208,0.9130,0.4763,0.5246,0.4808,0.6601,0.2753,0.9088,0.8225,0.4505,0.2934,0.3728
2,1.0691,1.1379,55.87,0.6291,0.5064,0.8863,0.5368,0.6148,0.5079,0.7225,0.4335,0.5532,0.4479,0.6264,0.5180,0.7601
3,0.9497,0.8849,65.51,0.7067,0.6704,0.9435,0.6139,0.6920,0.5114,0.8092,0.7658,0.8815,0.7606,0.6621,0.3443,0.5231
4,0.8489,1.2249,56.75,0.7055,0.6930,0.9117,0.7041,0.6124,0.6109,0.7007,0.9051,0.3860,0.7380,0.2088,0.5898,0.6127
5,0.7424,0.6896,74.22,0.8324,0.8486,0.9636,0.7607,0.7708,0.7917,0.8590,0.7310,0.9848,0.7296,0.7473,0.6018,0.6647
6,0.6839,0.8792,66.05,0.7780,0.7798,0.9501,0.7669,0.7531,0.6421,0.7759,0.4715,0.7720,0.9099,0.4258,0.5449,0.8295
7,0.6216,0.6342,77.54,0.8599,0.8599,0.9598,0.8296,0.7748,0.8371,0.8983,0.7785,0.9058,0.8535,0.4945,0.7695,0.8699
8,0.5840,0.5812,78.96,0.8791,0.8670,0.9726,0.8416,0.8300,0.8760,0.8875,0.6709,0.8511,0.8451,0.6319,0.8473,0.8931
9,0.5758,0.5733,79.65,0.8647,0.8858,0.9803,0.7700,0.8365,0.8446,0.8708,0.6392,0.9635,0.8479,0.6868,0.7874,0.8526
10,0.5335,0.6219,78.82,0.8823,0.8724,0.9809,0.8308,0.8408,0.8777,0.8914,0.8259,0.9757,0.6451,0.8681,0.7754,0.6503
