epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2074,0.8926,65.66,0.7336,0.7123,0.9386,0.6910,0.6915,0.5900,0.7784,0.5127,0.8663,0.6704,0.7912,0.3144,0.7630
2,0.8462,0.7361,73.48,0.8087,0.7953,0.9509,0.7788,0.7534,0.7445,0.8292,0.5696,0.8602,0.6085,0.6566,0.8473,0.8699
3,0.6747,0.6121,78.33,0.8608,0.8988,0.9726,0.7393,0.7895,0.8675,0.8971,0.7563,0.9544,0.8451,0.5165,0.8353,0.8121
4,0.5755,0.5691,79.21,0.8858,0.8904,0.9788,0.8494,0.8375,0.8645,0.8944,0.6519,0.9119,0.8338,0.6126,0.8683,0.8786
5,0.5112,0.4862,82.83,0.9026,0.9186,0.9733,0.8559,0.8558,0.9107,0.9012,0.7310,0.9605,0.8113,0.7857,0.8413,0.8410
6,0.4627,1.0431,67.66,0.8158,0.7685,0.8818,0.8463,0.7035,0.8406,0.8541,0.8418,0.4347,0.8310,0.2912,0.8323,0.8526
7,0.4280,0.4434,84.69,0.9188,0.9159,0.9901,0.8764,0.8797,0.9181,0.9323,0.8228,0.9726,0.8648,0.7802,0.8144,0.8324
8,0.3938,0.5381,81.56,0.8962,0.8662,0.9767,0.8664,0.8338,0.9214,0.9126,0.8354,0.8328,0.8732,0.6016,0.8743,0.8902
9,0.3714,0.4882,83.61,0.9164,0.9240,0.9885,0.8827,0.8643,0.9154,0.9232,0.7975,0.9301,0.8676,0.6429,0.9162,0.8757
10,0.3427,0.5199,82.73,0.9093,0.9084,0.9897,0.8349,0.8729,0.9307,0.9194,0.8797,0.9544,0.7521,0.9121,0.6856,0.7832
