epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.2276,0.9163,65.95,0.7178,0.6737,0.9389,0.7005,0.6959,0.5753,0.7223,0.4810,0.8875,0.7183,0.6566,0.4760,0.7254
2,0.8160,0.7418,73.58,0.8123,0.7779,0.9606,0.7954,0.7621,0.7668,0.8110,0.4684,0.9179,0.7465,0.6758,0.7964,0.8006
3,0.6503,0.5608,80.48,0.8751,0.8683,0.9761,0.8396,0.8141,0.8663,0.8862,0.7310,0.9635,0.7380,0.7527,0.8234,0.8266
4,0.5505,0.5278,81.56,0.8890,0.8802,0.9745,0.8548,0.8482,0.8924,0.8839,0.7278,0.9392,0.8028,0.8269,0.7754,0.8179
5,0.4936,0.5029,82.09,0.8936,0.8898,0.9831,0.8494,0.8401,0.8953,0.9040,0.8228,0.9392,0.7493,0.7720,0.8952,0.7601
6,0.4438,0.5010,82.39,0.8949,0.9007,0.9786,0.8637,0.8320,0.8908,0.9034,0.7089,0.9757,0.8000,0.7500,0.8533,0.8584
7,0.4040,0.4921,83.02,0.9039,0.8799,0.9800,0.8741,0.8733,0.9125,0.9037,0.6962,0.9757,0.8225,0.7665,0.8234,0.8960
8,0.3679,0.4443,84.88,0.9156,0.9102,0.9793,0.8781,0.8793,0.9297,0.9168,0.7975,0.9848,0.8197,0.8049,0.8383,0.8526
9,0.3244,0.4868,83.56,0.9095,0.9003,0.9791,0.8838,0.8655,0.9250,0.9035,0.7437,0.9818,0.7746,0.8599,0.8413,0.8121
10,0.2848,0.4678,83.71,0.9050,0.8799,0.9871,0.8664,0.8531,0.9353,0.9082,0.7437,0.9696,0.8225,0.7830,0.8593,0.8468
