epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9375,0.7068,72.60,0.8333,0.8322,0.9408,0.7772,0.8084,0.8023,0.8385,0.6582,0.7568,0.5606,0.8544,0.6437,0.8728
2,0.6558,0.6084,76.22,0.8698,0.8912,0.9813,0.8199,0.7978,0.8240,0.9047,0.7120,0.9422,0.4366,0.8736,0.7814,0.8353
3,0.5661,0.5741,80.04,0.8880,0.8893,0.9804,0.8128,0.8170,0.9217,0.9070,0.7468,0.9392,0.8648,0.5769,0.9012,0.7890
4,0.5051,0.4675,83.66,0.9128,0.9037,0.9844,0.8877,0.8819,0.9236,0.8952,0.6994,0.9635,0.8394,0.7720,0.8533,0.8902
5,0.4646,0.4716,83.56,0.9090,0.9168,0.9794,0.8646,0.8458,0.9203,0.9269,0.7722,0.9574,0.7211,0.8874,0.8084,0.8671
6,0.4224,0.4959,82.24,0.9193,0.9193,0.9875,0.8878,0.8634,0.9387,0.9192,0.6108,0.9878,0.8986,0.7308,0.8144,0.8844
7,0.3971,0.4125,85.52,0.9294,0.9212,0.9888,0.8958,0.8866,0.9469,0.9372,0.8165,0.9818,0.8310,0.8434,0.8503,0.8121
8,0.3679,0.3756,87.08,0.9388,0.9369,0.9918,0.8848,0.9124,0.9608,0.9462,0.8608,0.9909,0.8282,0.7995,0.9521,0.8064
9,0.3444,0.4119,86.74,0.9315,0.9454,0.9910,0.9008,0.8694,0.9471,0.9351,0.8101,0.9696,0.8423,0.7308,0.9251,0.9364
10,0.3250,0.5286,82.73,0.9214,0.9211,0.9813,0.8712,0.8959,0.9376,0.9216,0.8449,0.9757,0.7324,0.9505,0.7096,0.7514
11,0.2896,0.3324,88.75,0.9479,0.9525,0.9927,0.9096,0.9088,0.9609,0.9627,0.8892,0.9909,0.8535,0.8077,0.9042,0.8902
12,0.2699,0.4810,84.05,0.9251,0.9430,0.9836,0.8849,0.8910,0.9219,0.9263,0.7310,0.9848,0.8761,0.7198,0.8503,0.8844
13,0.2385,0.4033,85.62,0.9388,0.9443,0.9901,0.8914,0.9017,0.9577,0.9474,0.8987,0.9848,0.7944,0.7637,0.9341,0.7803
14,0.2125,0.4061,86.79,0.9387,0.9459,0.9943,0.8969,0.8907,0.9526,0.9517,0.8196,0.9939,0.7296,0.9341,0.8293,0.9017
15,0.1852,0.6317,80.87,0.9102,0.9321,0.9835,0.8335,0.8703,0.9142,0.9279,0.9272,0.9666,0.8169,0.8681,0.6976,0.5867
16,0.1598,0.4083,87.18,0.9371,0.9438,0.9925,0.8911,0.8833,0.9581,0.9536,0.8797,0.9696,0.7746,0.8104,0.8922,0.9162
17,0.1299,0.4401,88.21,0.9381,0.9419,0.9928,0.8939,0.8866,0.9624,0.9512,0.8386,0.9848,0.8056,0.8764,0.8832,0.9075
18,0.1175,0.5131,86.64,0.9347,0.9502,0.9930,0.8954,0.8753,0.9371,0.9573,0.8513,0.9696,0.8958,0.7775,0.7874,0.9220
19,0.1060,0.4773,86.40,0.9321,0.9424,0.9920,0.8764,0.8643,0.9606,0.9570,0.8259,0.9787,0.7127,0.8956,0.8952,0.8815
20,0.0830,0.5709,85.52,0.9320,0.9387,0.9842,0.8909,0.8819,0.9529,0.9437,0.8449,0.9726,0.8507,0.8269,0.8263,0.8150
21,0.0873,0.5109,87.23,0.9424,0.9513,0.9928,0.9014,0.8910,0.9629,0.9547,0.8449,0.9909,0.8930,0.7308,0.8683,0.9162
22,0.0753,0.5209,86.69,0.9372,0.9492,0.9911,0.8899,0.8854,0.9516,0.9560,0.9272,0.9605,0.7549,0.8571,0.8713,0.8439
23,0.0552,0.6463,85.71,0.9300,0.9440,0.9903,0.8822,0.8596,0.9605,0.9433,0.9367,0.9848,0.8479,0.7940,0.8593,0.7370
24,0.0593,0.6004,86.69,0.9336,0.9364,0.9916,0.8901,0.8764,0.9647,0.9421,0.9019,0.9757,0.7268,0.8846,0.9012,0.8237
25,0.0474,0.6962,84.49,0.9281,0.9403,0.9860,0.8731,0.8738,0.9599,0.9354,0.9051,0.8815,0.8254,0.7445,0.8922,0.8353
26,0.0472,0.6240,86.69,0.9387,0.9486,0.9874,0.8948,0.8830,0.9594,0.9590,0.9304,0.9909,0.7690,0.8379,0.9132,0.7775
27,0.0438,0.9052,81.75,0.9105,0.9014,0.9710,0.8712,0.8478,0.9559,0.9155,0.8861,0.8116,0.9042,0.6841,0.8084,0.8208
28,0.0417,0.6038,88.06,0.9400,0.9537,0.9893,0.8862,0.8921,0.9645,0.9541,0.8639,0.9878,0.7887,0.8544,0.9012,0.8960
29,0.0382,0.8384,84.69,0.9152,0.9277,0.9863,0.8423,0.8691,0.9355,0.9301,0.8259,0.8997,0.8197,0.7363,0.8802,0.9277
