epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.7789,0.8216,70.99,0.8447,0.8383,0.9809,0.7862,0.7951,0.8068,0.8608,0.8956,0.8237,0.4141,0.5714,0.8473,0.7486
2,0.5114,0.4547,84.25,0.9165,0.9254,0.9892,0.8672,0.8724,0.9341,0.9109,0.7532,0.9818,0.8394,0.8159,0.7994,0.8642
3,0.4162,0.5669,80.33,0.9025,0.9170,0.9865,0.8845,0.8590,0.9039,0.8643,0.5601,0.9939,0.7859,0.7967,0.9162,0.7601
4,0.3557,0.4686,84.30,0.9175,0.8958,0.9836,0.8983,0.8870,0.9303,0.9102,0.7722,0.9939,0.7718,0.8544,0.9222,0.7486
5,0.2751,0.6121,80.23,0.9047,0.9133,0.9838,0.8754,0.8558,0.8967,0.9031,0.9462,0.9240,0.7690,0.8352,0.6916,0.6618
6,0.2036,0.4681,84.39,0.9202,0.9139,0.9884,0.8714,0.8725,0.9430,0.9319,0.8070,0.9149,0.7803,0.8297,0.8563,0.8786
7,0.1478,0.5614,82.44,0.9043,0.9029,0.9887,0.8400,0.8281,0.9385,0.9273,0.8734,0.9544,0.6113,0.8681,0.8772,0.7775
8,0.1124,0.7073,81.56,0.9089,0.8916,0.9857,0.8727,0.8651,0.9342,0.9041,0.9114,0.9392,0.8592,0.7885,0.7485,0.6590
9,0.0904,0.7001,80.82,0.9054,0.9081,0.9853,0.8474,0.8482,0.9316,0.9119,0.6741,0.9939,0.7549,0.8571,0.7754,0.7890
10,0.0635,0.7411,83.51,0.9076,0.8964,0.9769,0.8661,0.8617,0.9100,0.9342,0.7500,0.8967,0.8817,0.7033,0.8443,0.9364
11,0.0808,0.6249,83.27,0.9073,0.9120,0.9901,0.8441,0.8521,0.9353,0.9103,0.7595,0.9878,0.7972,0.8132,0.8353,0.8064
12,0.0541,0.7177,82.05,0.9032,0.8980,0.9888,0.8342,0.8313,0.9308,0.9365,0.6108,0.9483,0.7070,0.7912,0.9072,0.9538
13,0.0537,1.0830,77.15,0.8765,0.8851,0.9788,0.8593,0.8075,0.9230,0.8054,0.8354,0.9909,0.8648,0.6566,0.8623,0.4422
14,0.0699,0.7004,82.58,0.9092,0.9244,0.9873,0.8569,0.8403,0.9336,0.9125,0.9146,0.9271,0.7183,0.6923,0.9192,0.8092
15,0.0412,0.6010,85.86,0.9199,0.9188,0.9894,0.8581,0.8704,0.9467,0.9364,0.8449,0.9635,0.8085,0.7610,0.8862,0.8988
16,0.0440,0.6517,83.95,0.9164,0.9055,0.9941,0.8563,0.8598,0.9454,0.9370,0.8259,0.9909,0.6563,0.8049,0.9281,0.8468
17,0.0467,0.6119,84.98,0.9217,0.9192,0.9946,0.8467,0.8787,0.9469,0.9444,0.8608,0.9818,0.7211,0.8626,0.8114,0.8699
18,0.0453,0.6916,83.71,0.9047,0.8956,0.9834,0.8491,0.8488,0.9337,0.9174,0.7816,0.9818,0.7324,0.8324,0.8533,0.8468
19,0.0445,0.6012,85.81,0.9214,0.9171,0.9900,0.8597,0.8776,0.9429,0.9409,0.7911,0.9726,0.7944,0.8022,0.8743,0.9191
20,0.0517,0.6539,84.15,0.9202,0.9332,0.9927,0.8633,0.8634,0.9417,0.9268,0.8892,0.9574,0.7662,0.6896,0.9431,0.8266
21,0.0370,0.6467,84.98,0.9149,0.9249,0.9887,0.8614,0.8501,0.9301,0.9343,0.8101,0.9818,0.7577,0.7940,0.8862,0.8786
22,0.0276,0.6859,85.13,0.9206,0.9226,0.9920,0.8720,0.8636,0.9409,0.9328,0.7468,0.9848,0.8338,0.8049,0.8114,0.9249
23,0.0251,0.6169,86.20,0.9228,0.9329,0.9916,0.8625,0.8750,0.9434,0.9312,0.8449,0.9848,0.8000,0.7582,0.9132,0.8844
24,0.0332,0.9195,80.63,0.8830,0.8604,0.9867,0.8279,0.8146,0.9098,0.8987,0.7943,0.9483,0.8085,0.6813,0.7156,0.8988
25,0.0322,0.8880,79.84,0.8852,0.8985,0.9895,0.7836,0.8493,0.8762,0.9140,0.7342,0.9666,0.6648,0.8791,0.7305,0.8150
