epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.9631,1.1272,56.36,0.5994,0.5253,0.8814,0.5533,0.6370,0.4069,0.5928,0.5854,0.8754,0.5775,0.7033,0.1796,0.4566
2,1.0522,0.9605,61.94,0.6980,0.6322,0.9318,0.6131,0.6803,0.5793,0.7513,0.7310,0.8723,0.6338,0.6923,0.1108,0.6763
3,0.9202,0.8423,66.78,0.7477,0.7429,0.9450,0.7291,0.7028,0.5515,0.8153,0.8101,0.8480,0.6507,0.7253,0.4162,0.5665
