epoch,train_loss,val_loss,val_acc
1,1.2977,1.5103,49.85
2,0.9040,0.9944,64.14
3,0.7403,1.1261,66.83
4,0.6083,0.6303,78.47
5,0.5122,0.6774,75.83
6,0.4099,0.6923,76.57
7,0.3717,0.6727,77.94
8,0.3441,0.6415,78.91
9,0.2954,0.6182,79.79
10,0.2646,0.7155,77.10
11,0.2395,0.7813,77.10
12,0.1954,0.7603,78.42
13,0.1823,0.9675,76.03
14,0.1975,0.7719,79.31
15,0.1455,0.8535,77.25
16,0.0982,0.7200,80.92
17,0.1140,0.8028,79.84
18,0.1864,0.6953,81.26
19,0.1249,0.8604,81.02
20,0.0748,0.7644,81.75
21,0.0628,0.7990,82.24
22,0.0843,1.0490,77.35
23,0.1086,0.8682,80.33
24,0.1318,0.8268,80.68
25,0.0738,0.7895,82.88
