epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.0251,1.1630,58.37,0.6859,0.6453,0.7518,0.7172,0.6820,0.7368,0.5823,0.4810,0.3161,0.3634,0.5440,0.8413,0.9509
2,0.6941,0.5967,78.67,0.8810,0.9023,0.9706,0.8336,0.8246,0.8820,0.8732,0.6677,0.9878,0.8394,0.7582,0.7186,0.7457
3,0.5941,0.5750,79.40,0.8931,0.8871,0.9651,0.8503,0.8577,0.9075,0.8910,0.9082,0.9331,0.7803,0.7775,0.6737,0.7052
4,0.5005,0.5645,80.72,0.9003,0.9160,0.9764,0.8562,0.8361,0.9122,0.9049,0.9367,0.9088,0.8000,0.7940,0.6677,0.7486
5,0.4637,0.4149,85.71,0.9300,0.9462,0.9918,0.8834,0.8743,0.9386,0.9457,0.8323,0.9635,0.8789,0.7802,0.7784,0.9133
6,0.4026,0.4423,84.10,0.9290,0.9365,0.9842,0.8782,0.8827,0.9439,0.9482,0.8576,0.9757,0.8000,0.9011,0.7216,0.7919
7,0.3727,0.4082,86.89,0.9322,0.9515,0.9921,0.8759,0.8822,0.9448,0.9467,0.8734,0.9726,0.7803,0.8654,0.8353,0.8931
8,0.3421,0.5055,82.34,0.9319,0.9259,0.9895,0.8877,0.8941,0.9545,0.9396,0.9557,0.8571,0.8366,0.7088,0.9042,0.6994
9,0.3126,0.5100,82.09,0.9121,0.9358,0.9863,0.8116,0.8701,0.9312,0.9379,0.8228,0.9635,0.7746,0.5962,0.9491,0.8439
10,0.2872,0.4330,85.23,0.9379,0.9348,0.9924,0.8976,0.9009,0.9655,0.9359,0.9241,0.9574,0.8507,0.8077,0.9012,0.6879
