epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.9728,0.9156,68.93,0.7810,0.8160,0.9358,0.7099,0.7267,0.7340,0.7633,0.6297,0.9848,0.6789,0.5632,0.7844,0.5145
2,0.6753,0.7575,72.65,0.8403,0.8076,0.9268,0.8281,0.7948,0.8607,0.8238,0.6171,0.9544,0.8986,0.5907,0.5359,0.7601
3,0.5856,0.5851,79.01,0.8907,0.8786,0.9768,0.8511,0.8516,0.8916,0.8945,0.8449,0.7964,0.7014,0.6346,0.9162,0.8671
4,0.5061,0.5258,81.02,0.9062,0.9220,0.9813,0.8705,0.8664,0.9268,0.8703,0.8797,0.7933,0.8479,0.6676,0.9222,0.7659
5,0.4780,0.5132,82.49,0.9098,0.9015,0.9795,0.8885,0.8819,0.9256,0.8819,0.6582,0.8116,0.8338,0.8434,0.8593,0.9277
6,0.4345,0.4853,82.83,0.9208,0.8774,0.9916,0.8987,0.8993,0.9544,0.9032,0.9241,0.9453,0.8676,0.7637,0.8982,0.5896
7,0.3894,0.4863,82.97,0.9094,0.8917,0.9662,0.8911,0.8730,0.9302,0.9044,0.6582,0.9392,0.8592,0.7747,0.8683,0.8728
8,0.3816,0.3816,85.86,0.9330,0.9375,0.9918,0.8950,0.8787,0.9541,0.9409,0.8576,0.9939,0.8085,0.8242,0.9012,0.7775
9,0.3337,0.3649,86.64,0.9401,0.9429,0.9908,0.9067,0.8993,0.9460,0.9547,0.8734,0.9787,0.8056,0.8379,0.8892,0.8237
10,0.3156,0.4700,83.66,0.9318,0.9516,0.9922,0.8743,0.8881,0.9300,0.9548,0.9019,0.9605,0.6338,0.9423,0.7365,0.8526
11,0.2974,0.4029,86.35,0.9349,0.9254,0.9911,0.9034,0.8880,0.9590,0.9425,0.8576,0.9574,0.8817,0.8132,0.8653,0.8121
12,0.2655,0.5440,83.12,0.9225,0.9250,0.9854,0.8885,0.8688,0.9305,0.9367,0.9177,0.9362,0.8056,0.8489,0.7006,0.7861
13,0.2320,0.3946,86.40,0.9408,0.9481,0.9880,0.8988,0.9028,0.9548,0.9523,0.8861,0.9787,0.8141,0.7610,0.8952,0.8642
14,0.1982,0.4291,85.62,0.9306,0.9338,0.9923,0.8839,0.8784,0.9465,0.9489,0.8165,0.9787,0.7465,0.9176,0.8473,0.8324
15,0.1746,0.3947,87.52,0.9424,0.9489,0.9895,0.9028,0.9014,0.9620,0.9499,0.8291,0.9848,0.7690,0.8901,0.8892,0.8931
16,0.1517,0.4299,87.57,0.9411,0.9411,0.9913,0.9074,0.8888,0.9644,0.9533,0.8323,0.9787,0.6648,0.9286,0.9192,0.9364
17,0.1180,0.4411,86.45,0.9443,0.9446,0.9927,0.9012,0.9061,0.9693,0.9517,0.8354,0.9878,0.8225,0.8846,0.7874,0.8699
18,0.1090,0.5778,85.32,0.9323,0.9283,0.9887,0.8999,0.8899,0.9460,0.9410,0.7563,0.9088,0.8986,0.7995,0.8263,0.9249
19,0.0945,0.9626,79.45,0.8680,0.7570,0.9555,0.8626,0.8440,0.8964,0.8923,0.6329,0.8571,0.7803,0.8077,0.7305,0.9451
20,0.0862,0.6000,84.54,0.9273,0.9336,0.9912,0.8854,0.8734,0.9412,0.9388,0.9146,0.9787,0.8423,0.8104,0.8323,0.7081
21,0.0690,0.6583,85.18,0.9280,0.9163,0.9869,0.8955,0.8884,0.9507,0.9301,0.6994,0.9605,0.8676,0.8132,0.8234,0.9393
22,0.0679,0.5947,86.30,0.9268,0.9293,0.9863,0.8803,0.8722,0.9457,0.9470,0.8323,0.9422,0.7803,0.8269,0.8802,0.9220
23,0.0674,0.5738,85.91,0.9343,0.9406,0.9907,0.8834,0.8878,0.9574,0.9458,0.8228,0.9787,0.7859,0.8791,0.8144,0.8757
24,0.0552,0.6262,86.40,0.9300,0.9217,0.9922,0.8903,0.8784,0.9522,0.9452,0.7658,0.9696,0.8366,0.8462,0.8413,0.9220
25,0.0430,0.5675,87.18,0.9398,0.9443,0.9921,0.8904,0.8993,0.9608,0.9516,0.8829,0.9818,0.7972,0.8159,0.9281,0.8382
