epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.0340,0.8275,69.23,0.7765,0.7919,0.9447,0.7058,0.7459,0.6418,0.8291,0.6677,0.8602,0.7944,0.7390,0.2605,0.8179
2,0.6757,0.8768,72.80,0.8166,0.6438,0.9036,0.8243,0.8307,0.8738,0.8233,0.9114,0.7903,0.7296,0.5495,0.8952,0.5260
3,0.5772,0.6930,78.47,0.8673,0.8891,0.9497,0.8502,0.8285,0.8826,0.8039,0.7816,0.9939,0.5944,0.8324,0.8892,0.6329
4,0.5064,0.4411,83.76,0.9186,0.9188,0.9857,0.8664,0.8779,0.9336,0.9295,0.8101,0.9787,0.7831,0.8187,0.8533,0.7890
5,0.4718,0.5099,81.90,0.9052,0.9295,0.9718,0.8495,0.8580,0.9038,0.9188,0.8734,0.8997,0.8225,0.7527,0.8054,0.7717
6,0.4052,0.4809,82.68,0.9193,0.9061,0.9879,0.8771,0.8826,0.9382,0.9241,0.6424,0.9392,0.8282,0.8434,0.7575,0.9364
7,0.3707,0.3998,86.64,0.9326,0.9302,0.9889,0.8974,0.8870,0.9474,0.9448,0.8259,0.9483,0.8225,0.7912,0.9012,0.9162
8,0.3384,0.4532,84.69,0.9227,0.9431,0.9882,0.8621,0.8756,0.9361,0.9314,0.8797,0.8784,0.6817,0.8324,0.9251,0.8960
9,0.3151,0.4659,82.68,0.9209,0.9233,0.9889,0.8763,0.8799,0.9138,0.9430,0.9114,0.9574,0.8761,0.6923,0.8234,0.7197
10,0.2871,0.3825,85.96,0.9424,0.9458,0.9890,0.8971,0.9130,0.9645,0.9449,0.9241,0.9666,0.7972,0.8819,0.8593,0.7399
11,0.2590,0.4392,84.34,0.9247,0.9268,0.9881,0.8789,0.8947,0.9300,0.9297,0.7975,0.9848,0.7493,0.8956,0.7814,0.8526
12,0.2279,0.5247,82.78,0.9203,0.9199,0.9839,0.8763,0.8700,0.9455,0.9263,0.9304,0.9514,0.7606,0.8407,0.8054,0.6936
13,0.2050,0.4650,85.57,0.9306,0.9381,0.9902,0.8854,0.8824,0.9433,0.9441,0.9177,0.9848,0.7211,0.8626,0.9042,0.7601
14,0.1772,0.4415,87.23,0.9339,0.9476,0.9934,0.8776,0.8896,0.9501,0.9448,0.8639,0.9818,0.7296,0.8626,0.9102,0.8960
15,0.1485,0.7370,81.31,0.9089,0.9128,0.9387,0.8838,0.8786,0.9400,0.8993,0.8861,0.6839,0.8845,0.7170,0.8204,0.8902
16,0.1329,0.5874,84.64,0.9147,0.9191,0.9907,0.8328,0.8660,0.9369,0.9425,0.7753,0.9757,0.7887,0.8407,0.8234,0.8757
17,0.1218,0.4940,85.81,0.9259,0.9346,0.9892,0.8646,0.8622,0.9587,0.9462,0.8418,0.9574,0.7239,0.8544,0.8772,0.9017
18,0.0802,0.5611,86.15,0.9375,0.9407,0.9925,0.8922,0.9028,0.9547,0.9423,0.8639,0.9848,0.8620,0.8242,0.7934,0.8468
19,0.0986,0.5646,85.81,0.9273,0.9251,0.9894,0.8805,0.8946,0.9463,0.9279,0.7785,0.9818,0.7915,0.8599,0.8563,0.8815
20,0.0648,0.5279,86.35,0.9357,0.9462,0.9935,0.8751,0.8897,0.9554,0.9545,0.8481,0.9787,0.7972,0.7555,0.9341,0.8815
21,0.0562,0.5816,87.23,0.9313,0.9452,0.9908,0.8722,0.8959,0.9483,0.9352,0.8006,0.9939,0.7296,0.8901,0.9072,0.9162
22,0.0595,0.6400,85.03,0.9287,0.9275,0.9851,0.8696,0.9013,0.9550,0.9336,0.7975,0.9726,0.8366,0.7720,0.8653,0.8642
23,0.0442,0.6328,86.55,0.9306,0.9291,0.9895,0.8882,0.8761,0.9522,0.9486,0.8165,0.9757,0.7324,0.8571,0.9102,0.9075
24,0.0436,0.6996,85.23,0.9213,0.9190,0.9906,0.8679,0.8810,0.9414,0.9280,0.7943,0.9726,0.8282,0.8104,0.8234,0.8873
25,0.0469,0.5851,87.77,0.9389,0.9427,0.9922,0.8816,0.9044,0.9656,0.9471,0.8861,0.9878,0.8085,0.8599,0.8892,0.8439
