epoch,train_loss,val_loss,val_acc
1,0.8620,0.9665,67.61
2,0.5279,0.7249,74.56
3,0.4246,0.5763,79.40
4,0.3146,0.9475,70.55
5,0.2331,1.2827,65.70
6,0.1953,0.8369,75.88
7,0.1740,0.9551,74.85
8,0.1057,0.8105,80.23
9,0.1097,0.8087,81.60
10,0.0641,0.9235,78.67
11,0.0712,0.8353,80.09
12,0.0555,0.9721,78.82
13,0.0799,0.8789,80.33
14,0.0360,0.8815,81.02
15,0.0838,0.8968,79.94
16,0.0207,1.0014,81.51
17,0.0335,0.8656,82.00
18,0.0236,0.8508,82.00
19,0.0279,0.9225,80.09
20,0.0532,1.2880,74.17
21,0.0343,1.0531,77.69
22,0.0415,0.8203,81.65
23,0.0547,0.8168,80.53
24,0.0256,0.7838,83.46
25,0.0339,0.8099,83.02
