epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,1.1644,0.9834,61.59,0.7132,0.6782,0.9278,0.6816,0.6859,0.5748,0.7309,0.7373,0.9027,0.5577,0.3764,0.5928,0.5665
2,0.8243,0.7895,72.99,0.8237,0.8031,0.9552,0.7849,0.7981,0.8183,0.7825,0.4747,0.9666,0.6056,0.7857,0.8383,0.7023
3,0.6855,0.6383,77.10,0.8624,0.8526,0.9620,0.8179,0.8295,0.8607,0.8519,0.5506,0.9818,0.7803,0.8049,0.7126,0.7832
4,0.5863,0.5363,80.97,0.8847,0.9097,0.9503,0.8190,0.8543,0.8790,0.8959,0.8006,0.9635,0.7493,0.7940,0.7964,0.7630
5,0.5231,0.6339,77.74,0.8746,0.8720,0.9583,0.8535,0.8222,0.8586,0.8829,0.6677,0.9787,0.6732,0.8379,0.7844,0.7225
6,0.4869,0.5115,81.95,0.8990,0.9158,0.9778,0.8653,0.8474,0.8872,0.9005,0.8006,0.9726,0.7577,0.8379,0.7665,0.7861
7,0.4451,0.5092,82.63,0.9081,0.9184,0.9811,0.8381,0.8630,0.9154,0.9328,0.8323,0.9787,0.6732,0.9258,0.7305,0.8208
8,0.4117,0.4860,82.49,0.9087,0.9223,0.9868,0.8510,0.8410,0.9325,0.9188,0.7342,0.9605,0.6845,0.8489,0.8054,0.9162
9,0.3903,0.4835,82.73,0.9112,0.9230,0.9774,0.8748,0.8426,0.9376,0.9122,0.9082,0.9149,0.7380,0.7857,0.8443,0.7890
10,0.3564,0.6627,78.28,0.8883,0.8905,0.9719,0.8452,0.8210,0.8988,0.9024,0.9367,0.8754,0.6535,0.6621,0.8234,0.7746
