epoch,train_loss,val_loss,val_acc,mAP,AP_class0,AP_class1,AP_class2,AP_class3,AP_class4,AP_class5,ACC_class0,ACC_class1,ACC_class2,ACC_class3,ACC_class4,ACC_class5
1,0.8289,0.5925,79.01,0.8606,0.7979,0.9808,0.8040,0.8277,0.8630,0.8905,0.6519,0.9392,0.7296,0.7775,0.7575,0.8815
2,0.5422,0.5058,81.56,0.9018,0.8984,0.9881,0.8650,0.8384,0.8995,0.9215,0.7848,0.9210,0.5831,0.8846,0.8263,0.8988
3,0.4525,0.7288,74.07,0.8842,0.8910,0.9822,0.8785,0.8200,0.8947,0.8386,0.9082,0.6900,0.9014,0.6429,0.5838,0.7254
4,0.3670,0.5034,82.44,0.9127,0.9072,0.9830,0.8827,0.8915,0.9290,0.8828,0.7532,0.8632,0.8761,0.7940,0.8263,0.8295
5,0.3053,0.4974,83.56,0.9139,0.8852,0.9914,0.8940,0.8738,0.9252,0.9139,0.8734,0.9818,0.7887,0.8104,0.8832,0.6908
6,0.2381,0.5020,83.76,0.9239,0.9205,0.9929,0.8940,0.8895,0.9186,0.9281,0.6044,0.9848,0.8282,0.7912,0.8892,0.9191
7,0.1794,0.5278,83.76,0.9233,0.8925,0.9927,0.8909,0.8960,0.9484,0.9193,0.8892,0.9909,0.7972,0.8654,0.8054,0.6879
8,0.1521,0.5805,82.58,0.9108,0.9160,0.9892,0.8562,0.8671,0.9262,0.9098,0.7120,0.9301,0.7549,0.8269,0.8832,0.8468
9,0.1136,0.5623,83.37,0.9219,0.9118,0.9917,0.8676,0.8811,0.9502,0.9288,0.8671,0.9726,0.8563,0.7143,0.8952,0.7139
10,0.0860,0.5910,85.71,0.9204,0.9122,0.9901,0.8656,0.8868,0.9401,0.9277,0.8513,0.9757,0.7831,0.8791,0.7695,0.8873
11,0.0644,0.7986,80.38,0.9087,0.9079,0.9938,0.8406,0.8702,0.9268,0.9131,0.9019,0.9119,0.7831,0.5110,0.9222,0.8266
12,0.0555,0.5532,85.86,0.9227,0.9237,0.9921,0.8602,0.8785,0.9470,0.9349,0.8671,0.9605,0.8113,0.8104,0.8802,0.8324
13,0.0600,0.5772,86.06,0.9262,0.9403,0.9936,0.8695,0.8809,0.9348,0.9383,0.8956,0.9818,0.7803,0.7747,0.9132,0.8353
14,0.0390,0.5828,85.81,0.9205,0.9242,0.9922,0.8787,0.8649,0.9324,0.9304,0.7880,0.9909,0.7944,0.7967,0.8772,0.9075
15,0.0282,0.5777,86.15,0.9285,0.9380,0.9939,0.8708,0.8789,0.9519,0.9375,0.8797,0.9848,0.7070,0.8544,0.9072,0.8497
16,0.0273,0.6131,86.20,0.9219,0.9233,0.9922,0.8691,0.8619,0.9545,0.9305,0.7911,0.9818,0.8169,0.8132,0.8862,0.8873
17,0.0294,0.6156,85.86,0.9231,0.9324,0.9902,0.8619,0.8775,0.9489,0.9276,0.8829,0.9726,0.7944,0.8407,0.8353,0.8353
18,0.0212,0.6764,84.88,0.9194,0.9232,0.9918,0.8649,0.8648,0.9428,0.9287,0.9051,0.9878,0.7915,0.7857,0.8862,0.7543
